"Sequence week","B.1.526 +E484K count","B.1.526 +E484K  percent","B.1.526 no E484K count","B.1.526 no E484K percent","B.1.1.7 count","B.1.1.7 percent","P.1 count","P.1 percent","B.1.427 count","B.1.427 percent","B.1.429 count","B.1.429 percent","B.1.351 count","B.1.351 percent","B.1.617.2 count","B.1.617.2 percent","Other count","Other percent","incomplete"
01/02/2021,3,0.87,4,1.17,3,0.87,0,0,1,0.29,4,1.17,0,0,0,0,328,95.63,
01/09/2021,7,1.26,20,3.6,7,1.26,0,0,3,0.54,5,0.9,1,0.18,0,0,512,92.25,
01/16/2021,10,7.87,4,3.15,8,6.3,0,0,5,3.94,4,3.15,0,0,0,0,96,75.59,
01/23/2021,9,6.12,5,3.4,1,0.68,0,0,1,0.68,3,2.04,0,0,0,0,128,87.07,
01/30/2021,59,11.26,68,12.98,15,2.86,0,0,6,1.15,13,2.48,2,0.38,0,0,361,68.89,
02/06/2021,97,13.45,93,12.9,62,8.6,0,0,7,0.97,16,2.22,1,0.14,0,0,445,61.72,
02/13/2021,128,16.52,110,14.19,63,8.13,0,0,8,1.03,10,1.29,1,0.13,0,0,455,58.71,
02/20/2021,176,17.07,152,14.74,85,8.24,0,0,11,1.07,16,1.55,3,0.29,0,0,588,57.03,
02/27/2021,208,21.33,172,17.64,126,12.92,0,0,3,0.31,20,2.05,3,0.31,0,0,443,45.44,
03/06/2021,190,22.89,185,22.29,127,15.3,0,0,8,0.96,14,1.69,1,0.12,0,0,305,36.75,
03/13/2021,249,16.14,274,17.76,180,11.67,0,0,2,0.13,19,1.23,1,0.06,0,0,818,53.01,
03/20/2021,218,26.39,140,16.95,203,24.58,2,0.24,6,0.73,12,1.45,1,0.12,1,0.12,243,29.42,
03/27/2021,385,25.63,283,18.84,440,29.29,14,0.93,4,0.27,18,1.2,6,0.4,2,0.13,350,23.3,
04/03/2021,327,25.99,224,17.81,431,34.26,13,1.03,10,0.79,6,0.48,4,0.32,0,0,243,19.32,
04/10/2021,458,25.18,273,15.01,663,36.45,40,2.2,8,0.44,7,0.38,2,0.11,0,0,368,20.23,
04/17/2021,398,26.38,217,14.38,567,37.57,46,3.05,6,0.4,12,0.8,8,0.53,1,0.07,254,16.83,
04/24/2021,237,24.31,130,13.33,402,41.23,27,2.77,8,0.82,3,0.31,3,0.31,3,0.31,162,16.62,
05/01/2021,140,18.47,92,12.14,329,43.4,41,5.41,2,0.26,2,0.26,2,0.26,14,1.85,136,17.94,
05/08/2021,61,13.29,46,10.02,222,48.37,31,6.75,0,0,0,0,4,0.87,20,4.36,75,16.34,
05/15/2021,45,12.06,52,13.94,150,40.21,18,4.83,3,0.8,2,0.54,4,1.07,11,2.95,88,23.59,
05/22/2021,30,12.2,30,12.2,92,37.4,26,10.57,0,0,1,0.41,1,0.41,20,8.13,46,18.7,
05/29/2021,10,10.64,6,6.38,37,39.36,8,8.51,0,0,0,0,0,0,7,7.45,26,27.66,
06/05/2021,3,2.8,2,1.87,39,36.45,15,14.02,0,0,0,0,1,0.93,7,6.54,40,37.38,
06/12/2021,3,3.09,1,1.03,24,24.74,6,6.19,0,0,0,0,1,1.03,22,22.68,40,41.24,870
06/19/2021,0,0,0,0,6,11.11,1,1.85,0,0,0,0,0,0,24,44.44,23,42.59,870
