"Sequence week","B.1.526 +E484K count","B.1.526 +E484K  percent","B.1.526 no E484K count","B.1.526 no E484K percent","B.1.1.7 count","B.1.1.7 percent","P.1 count","P.1 percent","B.1.427 count","B.1.427 percent","B.1.429 count","B.1.429 percent","B.1.351 count","B.1.351 percent","B.1.617.2 count","B.1.617.2 percent","Other count","Other percent","incomplete"
01/02/2021,3,0.88,4,1.17,3,0.88,0,0,1,0.29,4,1.17,0,0,0,0,326,95.6,
01/09/2021,5,1.23,12,2.94,5,1.23,0,0,3,0.74,4,0.98,0,0,0,0,379,92.89,
01/16/2021,10,7.87,4,3.15,8,6.3,0,0,5,3.94,4,3.15,0,0,0,0,96,75.59,
01/23/2021,9,6.12,5,3.4,1,0.68,0,0,1,0.68,3,2.04,0,0,0,0,128,87.07,
01/30/2021,26,9.96,28,10.73,8,3.07,0,0,2,0.77,6,2.3,0,0,0,0,191,73.18,
02/06/2021,47,13.62,39,11.3,29,8.41,0,0,5,1.45,5,1.45,0,0,0,0,220,63.77,
02/13/2021,122,16.87,101,13.97,56,7.75,0,0,6,0.83,8,1.11,0,0,0,0,430,59.47,
02/20/2021,175,16.97,143,13.87,80,7.76,1,0.1,9,0.87,10,0.97,2,0.19,0,0,611,59.26,
02/27/2021,200,20.51,170,17.44,118,12.1,0,0,4,0.41,14,1.44,0,0,0,0,469,48.1,
03/06/2021,191,23.01,181,21.81,126,15.18,0,0,5,0.6,12,1.45,0,0,0,0,315,37.95,
03/13/2021,250,16.2,258,16.72,159,10.3,1,0.06,1,0.06,16,1.04,0,0,0,0,858,55.61,
03/20/2021,221,26.76,141,17.07,202,24.46,3,0.36,6,0.73,11,1.33,1,0.12,1,0.12,240,29.06,
03/27/2021,386,25.68,285,18.96,437,29.08,19,1.26,4,0.27,18,1.2,5,0.33,0,0,349,23.22,
04/03/2021,325,25.83,222,17.65,431,34.26,16,1.27,10,0.79,6,0.48,4,0.32,0,0,244,19.4,
04/10/2021,457,25.12,272,14.95,665,36.56,46,2.53,8,0.44,7,0.38,4,0.22,0,0,360,19.79,
04/17/2021,397,26.29,218,14.44,567,37.55,54,3.58,6,0.4,12,0.79,8,0.53,0,0,248,16.42,
04/24/2021,233,23.9,128,13.13,401,41.13,28,2.87,8,0.82,3,0.31,2,0.21,3,0.31,169,17.33,
05/01/2021,140,18.47,92,12.14,330,43.54,43,5.67,2,0.26,2,0.26,2,0.26,15,1.98,132,17.41,
05/08/2021,60,13.07,46,10.02,223,48.58,31,6.75,1,0.22,0,0,5,1.09,19,4.14,74,16.12,
05/15/2021,45,12.06,52,13.94,150,40.21,20,5.36,3,0.8,2,0.54,0,0,11,2.95,90,24.13,
05/22/2021,30,12.2,30,12.2,93,37.8,27,10.98,0,0,1,0.41,1,0.41,20,8.13,44,17.89,
05/29/2021,9,9.57,6,6.38,37,39.36,9,9.57,0,0,0,0,0,0,8,8.51,25,26.6,
06/05/2021,3,2.8,2,1.87,39,36.45,18,16.82,0,0,0,0,2,1.87,6,5.61,37,34.58,910
06/12/2021,3,3.09,1,1.03,25,25.77,7,7.22,0,0,0,0,0,0,22,22.68,39,40.21,910
