date_of_interest,CASE_COUNT,PROBABLE_CASE_COUNT,CASE_COUNT_7DAY_AVG,ALL_CASE_COUNT_7DAY_AVG,BX_CASE_COUNT,BX_PROBABLE_CASE_COUNT,BX_CASE_COUNT_7DAY_AVG,BX_ALL_CASE_COUNT_7DAY_AVG,BK_CASE_COUNT,BK_PROBABLE_CASE_COUNT,BK_CASE_COUNT_7DAY_AVG,BK_ALL_CASE_COUNT_7DAY_AVG,MN_CASE_COUNT,MN_PROBABLE_CASE_COUNT,MN_CASE_COUNT_7DAY_AVG,MN_ALL_CASE_COUNT_7DAY_AVG,QN_CASE_COUNT,QN_PROBABLE_CASE_COUNT,QN_CASE_COUNT_7DAY_AVG,QN_ALL_CASE_COUNT_7DAY_AVG,SI_CASE_COUNT,SI_PROBABLE_CASE_COUNT,SI_CASE_COUNT_7DAY_AVG,SI_ALL_CASE_COUNT_7DAY_AVG,INCOMPLETE
12/01/2020,3140,992,2130,2817,580,171,363,487,880,246,595,771,479,190,329,454,841,276,574,766,360,109,270,339,0
12/02/2020,3001,830,2222,2935,523,140,377,507,805,219,620,806,460,149,340,467,831,232,603,800,382,89,282,356,0
12/03/2020,2879,905,2518,3305,519,161,432,576,822,223,703,905,437,156,383,521,766,272,684,903,335,93,317,399,0
12/04/2020,2805,762,2591,3377,562,138,457,600,761,196,725,927,399,127,385,520,755,239,699,924,328,62,325,405,0
12/05/2020,1880,658,2604,3400,327,111,456,597,505,185,734,941,205,89,372,505,597,187,713,942,246,86,329,415,0
12/06/2020,1755,664,2608,3409,249,113,459,599,555,188,741,950,218,108,370,505,516,203,717,951,217,52,321,404,0
12/07/2020,3306,1017,2681,3513,555,193,474,620,963,269,756,974,451,161,378,518,967,310,753,999,370,84,320,402,0
12/08/2020,3061,917,2670,3491,499,172,462,609,921,219,762,976,453,160,375,510,897,272,761,1006,291,94,310,390,0
12/09/2020,3104,976,2684,3527,527,181,463,615,910,242,777,994,498,145,380,515,851,333,764,1024,318,75,301,379,0
12/10/2020,3142,911,2722,3565,570,155,470,622,941,258,794,1016,461,156,384,519,894,271,782,1042,276,71,292,367,0
12/11/2020,2975,901,2746,3610,499,135,461,612,834,212,804,1029,495,176,397,539,880,311,800,1070,266,67,283,359,0
12/12/2020,2200,590,2792,3646,391,109,470,621,594,159,817,1038,298,90,411,553,699,190,815,1085,218,42,279,349,0
12/13/2020,2171,907,2851,3740,311,148,479,635,645,250,830,1060,295,144,422,569,672,301,837,1121,248,64,284,355,0
12/14/2020,3574,1093,2890,3789,612,182,487,642,1107,325,850,1088,498,152,428,574,1006,339,843,1131,350,92,281,353,0
12/15/2020,3665,955,2976,3881,634,187,506,663,1059,239,870,1111,549,161,442,588,1086,298,870,1162,337,69,288,356,0
12/16/2020,2782,792,2930,3808,442,134,494,644,842,233,860,1100,453,138,436,581,809,229,864,1141,236,58,276,342,0
12/17/2020,1923,781,2756,3616,263,139,450,598,648,217,818,1052,339,137,418,561,488,229,806,1077,185,59,263,327,0
12/18/2020,3428,846,2820,3672,620,158,468,619,1023,215,845,1079,523,144,422,560,925,264,812,1076,337,65,273,337,0
12/19/2020,2559,694,2872,3739,403,124,469,622,765,198,870,1109,333,91,427,565,798,218,826,1095,260,63,279,346,0
12/20/2020,2348,721,2897,3737,292,126,467,617,766,214,887,1122,294,99,427,559,703,207,831,1086,293,75,285,354,0
12/21/2020,4338,1058,3006,3841,716,178,481,631,1307,324,916,1150,595,149,441,572,1291,318,871,1123,429,89,297,365,0
12/22/2020,4099,962,3068,3904,735,202,496,647,1254,276,944,1183,542,127,440,566,1204,281,888,1138,364,76,301,370,0
12/23/2020,3832,950,3218,4077,636,170,524,680,1091,314,979,1230,519,111,449,572,1188,271,942,1198,398,84,324,397,0
12/24/2020,3011,640,3374,4212,499,99,557,708,964,174,1024,1269,432,82,463,577,877,236,998,1254,239,49,331,403,0
12/25/2020,1046,606,3033,3838,154,87,491,632,341,181,927,1167,156,86,410,517,299,188,909,1154,96,63,297,368,0
12/26/2020,3441,907,3159,3994,534,148,509,654,1017,253,963,1211,426,114,423,533,1069,296,947,1204,394,96,316,392,0
12/27/2020,2883,938,3236,4102,480,169,536,687,911,230,984,1234,313,131,426,540,868,326,971,1245,311,82,319,396,0
12/28/2020,5370,1215,3383,4271,1013,211,579,734,1594,350,1025,1279,669,165,437,553,1533,398,1005,1291,561,91,338,415,0
12/29/2020,5207,1022,3541,4438,992,200,615,770,1411,290,1047,1303,612,127,447,563,1605,321,1063,1354,586,83,369,448,0
12/30/2020,4957,1075,3702,4617,966,186,663,820,1390,301,1090,1344,648,157,465,588,1490,336,1106,1406,462,95,378,458,0
12/31/2020,3375,781,3754,4689,663,129,686,847,933,201,1085,1343,385,105,458,585,1009,275,1125,1430,385,71,399,482,0
01/01/2021,1315,801,3793,4755,201,160,693,865,406,170,1095,1351,160,127,459,591,426,264,1143,1459,122,80,403,488,0
01/02/2021,4182,1076,3898,4885,721,190,719,897,1106,277,1107,1367,514,173,472,612,1332,324,1180,1501,508,112,419,507,0
01/03/2021,3439,1002,3978,4974,507,180,723,903,1052,265,1127,1392,393,163,483,628,1091,311,1212,1531,396,83,431,519,0
01/04/2021,6552,1420,4147,5172,1247,285,757,947,1889,330,1170,1432,902,239,516,672,1859,419,1259,1580,655,146,445,541,0
01/05/2021,6133,1356,4279,5352,1155,245,780,976,1760,398,1219,1497,882,200,555,721,1821,414,1290,1624,515,99,435,533,0
01/06/2021,5653,1276,4378,5480,1108,230,800,1003,1595,352,1249,1533,756,214,570,745,1669,390,1315,1658,524,90,444,541,0
01/07/2021,5381,1179,4665,5824,969,222,844,1060,1627,339,1348,1652,775,179,626,811,1557,348,1394,1746,453,91,453,553,0
01/08/2021,5280,1098,5231,6432,979,203,955,1177,1451,278,1497,1817,777,164,714,904,1593,378,1560,1929,480,74,504,604,0
01/09/2021,3679,894,5160,6335,681,178,949,1170,997,250,1482,1798,446,130,704,889,1184,262,1539,1899,371,74,485,579,0
01/10/2021,3187,976,5124,6295,457,206,942,1166,1006,293,1475,1795,363,145,700,882,1019,259,1529,1882,342,73,477,570,0
01/11/2021,5876,1349,5027,6188,1129,273,925,1148,1754,399,1456,1786,837,196,691,866,1687,393,1504,1853,467,88,450,534,0
01/12/2021,5212,1171,4895,6030,990,237,902,1123,1611,323,1434,1754,670,176,661,833,1526,331,1462,1799,415,104,436,521,0
01/13/2021,5151,1225,4824,5951,1032,256,891,1116,1534,338,1426,1743,693,203,652,822,1513,333,1440,1769,379,95,415,501,0
01/14/2021,5232,1146,4802,5925,986,235,893,1120,1552,334,1415,1731,746,187,647,819,1531,299,1436,1758,417,90,410,496,0
01/15/2021,4788,1091,4732,5854,915,228,884,1115,1393,323,1407,1730,657,144,630,799,1468,319,1418,1732,355,77,392,478,0
01/16/2021,3472,938,4703,5831,609,214,874,1110,1071,278,1417,1744,445,133,630,799,1050,252,1399,1711,297,61,382,466,0
01/17/2021,2901,1035,4662,5798,496,198,880,1114,900,325,1402,1734,392,162,634,806,859,285,1376,1692,254,65,369,452,0
01/18/2021,4618,1332,4482,5616,755,270,826,1060,1458,398,1360,1691,595,203,600,772,1432,341,1340,1648,378,119,356,444,0
01/19/2021,5128,1357,4470,5631,1087,261,840,1077,1473,439,1340,1688,716,219,606,785,1518,352,1339,1650,334,85,345,429,0
01/20/2021,4893,1279,4433,5601,1037,250,841,1077,1347,393,1313,1669,724,199,611,789,1430,360,1327,1642,355,76,341,423,0
01/21/2021,4911,1253,4387,5571,958,261,837,1077,1391,357,1290,1649,712,178,606,783,1499,370,1322,1648,351,87,332,413,0
01/22/2021,4692,1244,4374,5579,1046,273,855,1102,1318,357,1280,1644,708,189,613,796,1292,337,1297,1625,327,88,328,411,0
01/23/2021,3273,1039,4345,5565,666,212,864,1110,907,279,1256,1620,461,176,615,805,993,305,1289,1625,246,67,321,405,0
01/24/2021,2835,972,4336,5547,487,197,862,1109,890,263,1255,1610,372,171,613,803,908,282,1296,1631,178,59,310,393,0
01/25/2021,5643,1434,4482,5708,1145,277,918,1165,1709,436,1291,1651,810,238,643,839,1620,392,1323,1665,357,91,307,386,0
01/26/2021,4693,1248,4420,5630,990,283,904,1155,1364,322,1275,1619,690,223,640,836,1370,348,1302,1644,279,71,299,376,0
01/27/2021,4768,1232,4402,5605,961,280,893,1148,1445,369,1289,1630,706,211,637,835,1377,303,1294,1628,279,69,288,364,0
01/28/2021,4658,1191,4366,5560,962,235,894,1145,1401,374,1291,1633,690,193,634,834,1337,329,1271,1599,267,60,276,348,0
01/29/2021,3681,1025,4222,5385,731,242,849,1095,1106,306,1260,1596,530,165,608,805,1081,249,1241,1556,233,63,263,331,0
01/30/2021,2850,843,4161,5296,558,184,833,1076,859,249,1253,1585,356,128,593,783,914,231,1230,1534,162,50,251,317,0
01/31/2021,2879,965,4167,5301,549,203,842,1086,875,266,1251,1583,331,195,588,781,906,245,1229,1529,218,55,256,322,0
