week_ending,age_all_ages,age_0_4,age_5_12,age_13_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75up
02/17/2024,4.93,3.82,0.8,2.31,1.7,1.82,2.37,2.33,4.4,9.88,30.27
02/24/2024,4.2,3.82,1.2,1.16,1.28,1.89,1.85,2.33,3.8,8.63,23.86
03/02/2024,3.44,2.86,0.67,,0.85,1.35,1.5,0.88,3.4,7.93,21.37
03/09/2024,2.46,1.53,,0,0.85,0.94,1.06,1.56,2.4,5.01,15.67
03/16/2024,2.16,0.95,0,,0.71,0.74,0.62,1.95,1.4,5.43,13.71
03/23/2024,1.68,,0,,,0.81,0.79,1.07,1.8,2.5,11.4
03/30/2024,1.64,0.95,,,0.85,0.54,1.06,0.68,2.4,2.78,9.44
04/06/2024,1.68,0.95,,,,0.61,0.62,0.97,1.3,3.48,11.57
04/13/2024,1.57,,0,,,0.67,1.41,0.97,2.1,3.76,7.12
04/20/2024,1.46,1.15,,0,,,0.7,1.07,2.1,3.34,8.01
04/27/2024,1.55,1.72,,,0.71,1.01,0.44,,1.8,2.5,9.44
05/04/2024,1.69,,0,,,0.47,0.7,1.26,1.8,5.7,8.19
