week_end_date,CITY,BX,BK,MN,QN,SI,UHF101,UHF102,UHF103,UHF104,UHF105,UHF106,UHF107,UHF201,UHF202,UHF203,UHF204,UHF205,UHF206,UHF207,UHF208,UHF209,UHF210,UHF211,UHF301,UHF302,UHF303,UHF304,UHF305,UHF306,UHF307,UHF308,UHF309,UHF310,UHF401,UHF402,UHF403,UHF404,UHF405,UHF406,UHF407,UHF408,UHF409,UHF410,UHF501,UHF502,UHF503,UHF504
06/13/2021,18.21,25.53,16.02,15.72,15.62,28.98,9.87,18.35,25.13,25.09,30.29,25.95,35.11,23.22,14.09,17.74,21.13,13.15,8.48,18.38,10.77,15.1,20.04,13.42,19.87,16.73,11.46,12.38,8.86,31.89,12.23,13.36,11.26,13.36,11.13,20.74,12.43,6.9,14.23,17.22,10.41,16.36,17.11,16.84,27.76,23.45,20.54,36.03
06/14/2021,17.54,23.62,15.66,15.53,15.17,27.51,9.87,14.88,21.71,22.08,29.82,25.49,35.82,21.77,16.05,17.74,22.21,11.51,8.79,16.67,12.24,14.61,18.65,11.1,17.99,13.94,10.58,12.38,10.26,33.14,12.23,17.01,11.8,11.69,10.65,19.63,10.03,6.9,13.84,17.22,10.05,18.28,13.78,20.85,26.3,21.03,18.37,35.5
06/15/2021,17.31,21.72,15.23,15.84,15.75,27.72,12.06,14.38,18.66,21.75,25.56,21.32,35.11,22.5,13.31,18.36,23.84,13.15,7.88,16.67,11.75,16.56,15.2,10.64,16.87,11.71,12.34,12.38,12.59,38.15,13,15.79,11.8,11.69,11.13,19.18,10.03,5.75,20.96,15.2,11.13,19.89,12.36,16.84,27.76,22.64,18.37,34.46
06/16/2021,17.01,20.03,14.81,15.78,15.97,28.98,13.15,14.88,17.52,17.73,22.25,21.32,32.24,16.69,13.7,16.5,26,15.62,7.88,15.99,12.24,14.61,14.51,11.57,17.62,11.15,14.98,10.55,11.19,40.65,13.76,13.36,11.26,13.36,10.16,18.29,10.83,,23.72,11.14,12.2,21.17,12.36,19.24,24.84,25.07,19.45,37.07
06/17/2021,17.34,19.81,15.35,15.23,16.73,30.87,13.15,17.36,17.9,15.72,22.72,21.78,29.38,17.42,13.7,16.81,28.71,18.08,9.39,17.69,11.26,12.18,14.16,12.49,16.12,10.04,17.63,11,10.26,39.4,13,12.15,9.12,18.37,11.61,17.4,13.23,6.9,24.91,9.12,11.13,22.46,15.21,20.85,26.3,24.26,21.62,41.25
06/18/2021,16.84,18.19,15.74,13.38,16.24,33.39,10.96,17.85,14.47,14.72,18.93,22.25,27.23,13.79,11.35,18.05,34.67,16.44,9.7,19.4,12.24,14.12,14.16,11.57,12.37,10.04,16.75,9.63,8.39,36.27,11.47,9.72,5.9,18.37,12.1,15.39,13.63,6.9,24.91,8.11,11.13,21.17,15.21,22.45,29.22,22.64,23.78,46.47
06/19/2021,16.78,17.91,15.74,13.88,15.88,33.18,12.06,17.85,13.33,16.06,20.35,21.78,21.49,11.61,10.57,16.81,36.84,18.08,10.91,20.42,12.73,12.18,14.16,11.1,11.62,9.48,16.75,10.55,9.33,38.77,13.76,9.72,6.97,15.03,11.13,14.72,13.23,6.9,25.7,9.12,10.77,19.57,13.78,24.85,32.15,22.64,19.45,46.99
06/20/2021,16.53,17.35,15.63,13.75,15.66,32.55,13.15,16.36,12.57,13.38,21.3,22.25,22.93,9.43,12.52,15.56,36.3,18.08,10.6,19.06,12.73,13.15,13.82,12.49,12.37,8.37,16.75,8.71,9.33,37.52,13.76,9.72,8.58,15.03,13.07,12.94,12.03,5.75,26.49,7.09,11.84,19.89,12.83,24.85,29.22,24.26,18.37,45.95
06/21/2021,16.46,16.22,14.92,13.57,15.93,37.8,12.06,18.35,12.19,11.37,16.09,23.17,21.49,7.98,10.96,14.01,34.13,17.26,11.21,17.01,14.2,13.64,12.09,13.42,13.87,7.81,18.51,8.25,8.39,36.89,14.53,6.07,6.97,16.7,13.55,12.94,12.83,5.75,27.28,10.13,12.2,17.64,16.16,23.25,43.83,29.92,22.7,48.03
06/22/2021,16.43,15.72,15.16,13.57,15.75,38.43,12.06,20.33,12.95,10.71,14.2,20.86,20.06,7.26,13.31,14.32,29.79,18.08,13.33,14.29,14.2,13.64,14.51,13.42,12.37,11.15,15.86,11,7.46,31.89,19.12,,6.44,16.7,17.91,13.38,14.84,5.75,20.17,13.17,10.05,15.08,18.54,25.66,42.37,29.11,21.62,51.17
