modzcta,modzcta_name,percentpositivity_7day,people_tested,people_positive,median_daily_test_rate,adequately_tested,daterange
10001,Chelsea/NoMad/West Chelsea,3.38,1569,53,1115.4,Yes,February 8-February 14
10002,Chinatown/Lower East Side,5.73,3191,183,685.1,Yes,February 8-February 14
10003,East Village/Gramercy/Greenwich Village,1.53,5630,86,1672.9,Yes,February 8-February 14
10004,Financial District,3.29,213,7,1144,Yes,February 8-February 14
10005,Financial District,2.76,399,11,833.6,Yes,February 8-February 14
10006,Financial District,0,155,0,621,Yes,February 8-February 14
10007,TriBeCa,2.11,426,9,1130,Yes,February 8-February 14
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,3.87,3203,124,1104.1,Yes,February 8-February 14
10010,Flatiron/Gramercy/Kips Bay,1.37,2550,35,1475.1,Yes,February 8-February 14
10011,Chelsea,2.48,3265,81,1214.2,Yes,February 8-February 14
10012,Greenwich Village/SoHo,1.64,2007,33,1598.1,Yes,February 8-February 14
10013,Hudson Square/Little Italy/SoHo/TriBeCa,2.67,1912,51,1169.4,Yes,February 8-February 14
10014,Hudson Square/Meatpacking District/West Village,2.28,2016,46,1232.9,Yes,February 8-February 14
10016,Kips Bay/Murray Hill/NoMad,2.96,3175,94,1149,Yes,February 8-February 14
10017,East Midtown/Murray Hill,2.9,724,21,973.5,Yes,February 8-February 14
10018,Hell's Kitchen/Midtown Manhattan,1.5,533,8,746.4,Yes,February 8-February 14
10019,Hell's Kitchen/Midtown Manhattan,3.37,2168,73,960.4,Yes,February 8-February 14
10021,Lenox Hill/Upper East Side,2.26,2261,51,845.8,Yes,February 8-February 14
10022,East Midtown,1.47,3203,47,1378.8,Yes,February 8-February 14
10023,Lincoln Square,2.53,3315,84,966.3,Yes,February 8-February 14
10024,Upper West Side,2.37,2864,68,951.9,Yes,February 8-February 14
10025,Manhattan Valley/Morningside Heights/Upper West Side,2.19,5881,129,1280.3,Yes,February 8-February 14
10026,Central Harlem (South),4.84,1610,78,765.6,Yes,February 8-February 14
10027,Central Harlem (South)/Morningside Heights/West Harlem,3.27,4012,131,1362.9,Yes,February 8-February 14
10028,Upper East Side/Yorkville,2.53,2210,56,865.5,Yes,February 8-February 14
10029,East Harlem,6.84,3145,215,666,Yes,February 8-February 14
10030,Central Harlem (North),5.36,1120,60,666.2,Yes,February 8-February 14
10031,Hamilton Heights/West Harlem,6.51,2121,138,660.8,Yes,February 8-February 14
