"Week of diagnosis","Vaccinated + boosted case count","Vaccinated + boosted age-adjusted case rate","Vaccinated + boosted hospitalized count","Vaccinated + boosted age-adjusted hospitalized rate","Vaccinated + boosted death count","Vaccinated + boosted age-adjusted death rate","Vaccinated + unboosted case count","Vaccinated + unboosted age-adjusted case rate","Vaccinated + unboosted hospitalized count","Vaccinated + unboosted age-adjusted hospitalized rate","Vaccinated + unboosted death count","Vaccinated + unboosted age-adjusted death rate","Unvaccinated case count","Unvaccinated age-adjusted case rate","Unvaccinated hospitalized count","Unvaccinated age-adjusted hospitalized rate","Unvaccinated death count","Unvaccinated age-adjusted death rate","citywide_case_rate","citywide_hosp_rate_adj","citywide_death_rate_adj","incomplete"
01/23/2021,,,,,,,6,50.2,0,0,0,0,35378,450.67,2876,31.93,586,6.12,459.07,32.24,6.77,
01/30/2021,,,,,,,26,49.59,2,4.72,2,4.72,34081,442.83,2734,31.43,549,6,440.78,31.04,6.39,
02/06/2021,,,,,,,47,50.69,5,5.45,1,1.14,26644,351.72,2644,31.69,563,6.48,351.3,30.38,6.58,
02/13/2021,,,,,,,71,44.29,6,3.81,1,0.63,25940,348.42,2355,29.18,464,5.6,339.47,27.21,5.41,
02/20/2021,,,,,,,78,30.82,4,1.16,1,0.29,22870,310.09,2146,27.37,420,5.28,300.2,24.8,4.92,
02/27/2021,,,,,,,144,34.86,14,2.45,4,0.61,25064,348.03,2194,29.26,390,5.21,327.76,25.7,4.75,
03/06/2021,,,,,,,165,28.63,20,1.6,4,0.3,23934,336.12,2041,27.85,318,4.37,316.16,24.05,3.77,
03/13/2021,,,,,,,205,28.39,23,1.33,8,0.43,24264,350.76,1968,28.36,333,4.92,318.95,23.13,3.88,
03/20/2021,,,,,,,232,29.62,18,1.13,4,0.17,23640,356.87,1839,28.68,278,4.53,313.14,22.23,3.32,
03/27/2021,,,,,,,385,38.74,44,2.17,8,0.29,25946,411.11,2033,34.37,319,5.69,345.36,25.01,3.99,
04/03/2021,,,,,,,412,35.09,46,1.98,5,0.2,22121,367.9,1622,29.29,245,4.75,296.62,20.06,3.14,
04/10/2021,,,,,,,420,27.76,49,1.64,10,0.3,19619,342.11,1432,27.48,203,4.21,266.74,18.22,2.65,
04/17/2021,,,,,,,498,25.93,72,2.51,14,0.38,15319,284.38,1182,24.41,153,3.38,211.78,15.13,2.07,
04/24/2021,,,,,,,467,19.55,58,1.51,9,0.18,10451,212.14,877,19.87,106,2.54,149.23,11.18,1.41,
05/01/2021,,,,,,,384,14.11,55,1.49,8,0.16,7533,164.99,651,15.99,84,2.15,108.96,8.5,1.2,
05/08/2021,,,,,,,301,10.21,43,0.99,6,0.12,5311,124.54,478,12.46,69,1.86,76.52,6.17,0.89,
05/15/2021,,,,,,,281,8,44,0.92,6,0.1,3606,89.08,355,9.82,30,0.86,54.07,4.86,0.5,
05/22/2021,,,,,,,218,8.14,42,0.82,5,0.09,2547,65.74,287,8.27,30,0.9,38.34,3.99,0.41,
05/29/2021,,,,,,,207,4.51,44,0.81,7,0.12,1684,46.05,205,6.19,24,0.75,25.87,2.92,0.38,
06/05/2021,,,,,,,190,4.67,26,0.49,5,0.08,1303,37.47,151,4.73,21,0.67,20.12,2.16,0.3,
06/12/2021,,,,,,,218,5.01,32,0.56,2,0.04,1115,33.47,155,5.1,23,0.77,17.87,2.29,0.29,
06/19/2021,,,,,,,218,4.97,44,0.78,8,0.12,1029,32.22,138,4.66,10,0.35,16.52,2.16,0.22,
06/26/2021,,,,,,,246,5.68,33,0.6,3,0.05,1038,33.16,119,4.09,15,0.51,16.78,1.8,0.2,
07/03/2021,,,,,,,362,7.67,29,0.51,6,0.1,1216,40.39,146,5.17,12,0.42,20.52,2.04,0.21,
07/10/2021,,,,,,,623,13.04,37,0.6,6,0.09,1861,62.96,148,5.48,14,0.54,32.22,2.23,0.23,
07/17/2021,,,,,,,1210,25.57,61,0.98,12,0.18,2781,94.75,217,8.32,15,0.56,52.11,3.29,0.31,
07/24/2021,,,,,,,1966,41.08,62,1.02,3,0.04,4450,155.94,286,11.01,35,1.32,83.47,4.16,0.46,
07/31/2021,,,,,,,2747,56.76,112,1.81,14,0.2,6542,235.25,409,16.18,49,1.95,121.29,6.08,0.7,
08/07/2021,,,,,,,3435,69.46,149,2.45,9,0.14,8153,303.14,554,22.99,54,2.21,150.12,8.34,0.73,
08/14/2021,,,,,,,3617,71.95,161,2.6,18,0.27,8559,327.92,659,28.02,63,2.6,157.54,9.77,0.94,
08/21/2021,,,,,,,3862,74.88,180,2.73,32,0.46,8714,349.58,633,27.93,71,3.03,162.52,9.71,1.18,
08/28/2021,,,,,,,3801,73.18,166,2.51,30,0.43,8004,338.39,582,26.72,71,3.15,153.14,8.96,1.2,
09/04/2021,,,,,,,3640,68.76,184,2.76,34,0.49,7312,326.29,542,26.42,65,2.94,141.38,8.6,1.16,
09/11/2021,9,58.05,0,0,0,0,3747,68.96,158,2.42,23,0.34,6830,321.41,475,24.38,62,2.89,138.04,7.61,1.02,
09/18/2021,12,32.72,1,0.8,0,0,3794,69.79,167,2.54,20,0.29,7344,359.18,443,22.76,60,2.85,152.04,7.34,0.96,
09/25/2021,10,45.68,2,5.79,0,0,3385,62.33,163,2.47,15,0.21,6330,316.13,399,22.02,40,2.1,138.76,6.7,0.72,
10/02/2021,21,40.92,1,2.25,0,0,2995,54.3,136,2.1,12,0.17,5076,269.73,338,19.11,54,2.81,117.21,5.66,0.78,
10/09/2021,11,18.51,0,0,0,0,2909,51.63,154,2.36,20,0.28,5188,300.75,287,17.56,36,1.89,111.97,5.17,0.67,
10/16/2021,9,5.77,0,0,0,0,2522,44.69,127,1.92,15,0.22,4335,262.92,283,18.38,44,2.42,94.78,4.79,0.69,
10/23/2021,19,11.79,3,0.88,0,0,2138,37.22,113,1.68,18,0.26,3336,212.5,201,12.95,31,1.6,75.95,3.79,0.58,
10/30/2021,19,6.96,0,0,0,0,2069,35.61,106,1.66,12,0.18,2856,188.24,176,12.07,20,1.31,67.53,3.35,0.38,
11/06/2021,42,13.68,3,0.28,0,0,2554,44.99,101,1.6,14,0.21,3135,218.07,166,12.14,27,1.5,78.94,3.09,0.44,
11/13/2021,67,17.15,3,0.21,1,0.07,3256,56.31,131,2.21,25,0.4,3870,294.65,183,14.2,34,2.09,97.44,3.76,0.71,
11/20/2021,105,20.24,4,0.52,1,0.05,4251,75.29,140,2.36,27,0.47,4591,354.68,211,17.12,43,2.74,120.42,4.16,0.81,
11/27/2021,177,30.88,8,0.36,3,0.14,4364,78.01,166,2.94,23,0.42,4429,369.79,269,22.95,50,3.13,122.05,5.31,0.9,
12/04/2021,313,37.73,20,1.21,3,0.12,6903,129.3,229,4.31,44,0.85,7190,619.44,383,32.11,69,3.99,193.22,7.43,1.28,
12/11/2021,755,85.06,28,1.51,2,0.07,9762,188.2,336,6.49,52,1.04,9713,896.2,521,45.97,86,5.73,266.43,10.27,1.56,
12/18/2021,7247,693.18,73,4.24,5,0.18,41555,823.09,557,11.41,65,1.45,28415,3140.73,756,72.57,115,7.22,966.8,16.41,2.01,
12/25/2021,15274,1036.28,219,9.31,23,0.72,90579,1916.83,1612,34.74,133,3.14,59895,6871.43,1801,197.53,213,15.18,2056.14,43.84,4.14,
01/01/2022,24941,1251.75,622,21.32,60,1.59,144617,3193.72,3335,77.42,366,9.21,99033,12653.96,3419,399.81,369,28.05,3318.34,87,9.14,
01/08/2022,33333,1466.04,818,25.58,125,3.23,124534,3005.99,3368,83.72,404,10.93,96016,12616.02,3460,419.02,552,41.9,3180.49,89.16,12.41,
01/15/2022,20689,801.68,649,18.17,104,2.59,52146,1326.13,2133,56.78,320,9.32,40050,5869.43,2235,281.32,416,30.93,1451.99,57.9,9.76,
01/22/2022,12293,452.71,475,12.45,69,1.61,22661,597.21,1150,31.92,170,5.05,17358,2615.94,1348,161.17,246,18.33,675.98,34.25,6.04,
01/29/2022,6521,229.98,258,6.57,37,0.83,10083,273.78,664,18.99,100,3.11,8011,1255.35,727,89.04,138,9.79,318.95,19.32,3.48,
02/05/2022,3735,136.9,200,4.93,27,0.59,4834,133.14,372,10.87,48,1.51,4647,740.67,429,55.8,77,6.28,171.5,11.54,1.83,
02/12/2022,2583,91.33,133,3.46,8,0.16,2781,77.74,234,7.01,25,0.78,2596,437.44,254,36.99,38,3.71,102.14,7.25,0.92,
02/19/2022,1775,62.37,98,2.38,11,0.23,1762,48.99,179,5.44,18,0.56,1746,311.13,171,24.67,22,1.67,66.8,5.21,0.61,
02/26/2022,1602,54.99,66,1.78,6,0.12,1178,32.09,102,3.13,11,0.36,1101,217.54,108,15.44,9,0.68,49.77,3.24,0.29,
03/05/2022,1622,54.39,84,1.91,9,0.19,1107,31.37,86,2.64,9,0.32,1014,199.64,82,12.48,4,0.39,48.17,3.03,0.35,
03/12/2022,1936,64.39,53,1.17,6,0.12,1080,30.51,66,2.03,3,0.09,1011,198.53,57,6.55,6,0.53,51.29,2.02,0.16,
03/19/2022,2738,90.39,57,1.44,3,0.06,1318,37.92,65,2.01,5,0.14,1220,234.27,67,11.52,3,0.51,67.77,2.24,0.14,
03/26/2022,3977,133.06,70,1.57,5,0.1,2038,58.11,57,1.85,4,0.14,1801,360.82,54,7.98,5,0.47,100.37,2.09,0.16,
