date_of_interest,HOSPITALIZED_COUNT,HOSP_COUNT_7DAY_AVG,BX_HOSPITALIZED_COUNT,BX_HOSPITALIZED_COUNT_7DAY_AVG,BK_HOSPITALIZED_COUNT,BK_HOSPITALIZED_COUNT_7DAY_AVG,MN_HOSPITALIZED_COUNT,MN_HOSPITALIZED_COUNT_7DAY_AVG,QN_HOSPITALIZED_COUNT,QN_HOSPITALIZED_COUNT_7DAY_AVG,SI_HOSPITALIZED_COUNT,SI_HOSPITALIZED_COUNT_7DAY_AVG,INCOMPLETE
02/29/2020,1,0,0,0,1,0,0,0,0,0,0,0,0
03/01/2020,1,0,1,0,0,0,0,0,0,0,0,0,0
03/02/2020,2,0,0,0,2,0,0,0,0,0,0,0,0
03/03/2020,7,0,1,0,3,0,1,0,2,0,0,0,0
03/04/2020,2,0,0,0,1,0,1,0,0,0,0,0,0
03/05/2020,14,0,1,0,3,0,5,0,4,0,1,0,0
03/06/2020,8,5,1,1,1,2,3,1,2,1,1,0,0
03/07/2020,8,6,1,1,3,2,0,1,4,2,0,0,0
03/08/2020,18,8,5,1,8,3,1,2,4,2,0,0,0
03/09/2020,39,14,8,2,11,4,10,3,8,3,2,1,0
03/10/2020,58,21,6,3,12,6,13,5,23,6,4,1,0
03/11/2020,80,32,23,6,12,7,19,7,23,10,3,2,0
03/12/2020,108,46,18,9,34,12,16,9,37,14,3,2,0
03/13/2020,152,66,27,13,44,18,29,13,50,21,2,2,0
03/14/2020,175,90,21,15,39,23,37,18,71,31,7,3,0
03/15/2020,210,117,37,20,53,29,34,23,68,40,18,6,0
03/16/2020,347,161,76,30,93,41,46,28,117,56,15,7,0
03/17/2020,385,208,61,38,99,53,76,37,127,70,22,10,0
03/18/2020,497,268,113,50,122,69,86,46,152,89,24,13,0
03/19/2020,633,343,134,67,162,87,105,59,207,113,25,16,0
03/20/2020,747,428,126,81,222,113,118,72,249,142,32,20,0
03/21/2020,739,508,162,101,184,134,118,83,241,166,34,24,0
03/22/2020,771,588,173,121,201,155,134,98,232,189,31,26,0
03/23/2020,1147,703,221,141,303,185,188,118,390,228,45,30,0
03/24/2020,1314,835,272,172,366,223,205,136,419,270,52,35,0
03/25/2020,1411,966,306,199,418,265,198,152,438,311,51,39,0
03/26/2020,1543,1096,323,226,488,312,234,171,444,345,54,43,0
03/27/2020,1569,1213,320,254,462,346,219,185,506,381,62,47,0
03/28/2020,1390,1306,315,276,398,377,190,195,435,409,52,50,0
03/29/2020,1503,1411,324,297,451,412,167,200,498,447,63,54,0
03/30/2020,1854,1512,342,315,563,449,273,212,604,478,72,58,0
03/31/2020,1801,1582,387,331,534,473,226,215,586,502,68,60,0
04/01/2020,1745,1629,384,342,493,484,213,217,570,520,85,65,0
04/02/2020,1677,1648,359,347,426,475,242,219,576,539,74,68,0
04/03/2020,1712,1669,391,357,438,472,259,224,554,546,70,69,0
04/04/2020,1457,1678,311,357,372,468,200,226,522,559,52,69,0
04/05/2020,1404,1664,311,355,392,460,192,229,439,550,70,70,0
04/06/2020,1742,1648,388,362,466,446,264,228,546,542,78,71,0
04/07/2020,1582,1617,331,354,454,434,196,224,532,534,69,71,0
04/08/2020,1566,1591,358,350,447,428,171,218,529,528,61,68,0
04/09/2020,1353,1545,269,337,409,425,190,210,431,508,54,65,0
04/10/2020,1289,1485,297,324,328,410,176,198,426,489,62,64,0
04/11/2020,1038,1425,249,315,292,398,133,189,319,460,45,63,0
04/12/2020,957,1361,229,303,253,378,133,180,298,440,44,59,0
04/13/2020,1157,1277,267,286,320,358,172,167,342,411,56,56,0
04/14/2020,987,1192,200,267,258,330,142,160,340,384,47,53,0
04/15/2020,869,1093,202,245,244,301,131,154,262,345,30,48,0
04/16/2020,782,1011,174,231,221,274,104,142,242,318,41,46,0
04/17/2020,792,940,169,213,232,260,113,133,247,293,31,42,0
04/18/2020,588,876,135,197,154,240,83,125,189,274,27,39,0
04/19/2020,537,816,140,184,125,222,71,117,175,257,26,37,0
04/20/2020,632,741,143,166,182,202,92,105,186,234,29,33,0
04/21/2020,589,684,143,158,157,188,89,98,175,211,25,30,0
04/22/2020,519,634,118,146,136,172,93,92,154,195,18,28,0
04/23/2020,445,586,109,137,124,159,56,85,135,180,21,25,0
04/24/2020,463,539,99,127,120,143,78,80,137,164,29,25,0
04/25/2020,325,501,80,119,88,133,41,74,93,151,23,24,0
04/26/2020,319,470,74,109,77,126,46,71,105,141,17,23,0
04/27/2020,370,433,93,102,93,114,62,66,104,129,18,22,0
04/28/2020,353,399,84,94,94,105,55,62,103,119,17,20,0
04/29/2020,310,369,77,88,89,98,43,54,88,109,13,20,0
04/30/2020,256,342,58,81,71,90,34,51,80,101,13,19,0
05/01/2020,267,314,73,77,65,82,34,45,84,94,11,16,0
05/02/2020,206,297,51,73,52,77,21,42,64,90,18,15,0
05/03/2020,215,282,44,69,56,74,33,40,69,85,13,15,0
05/04/2020,239,264,58,64,68,71,38,37,61,78,14,14,0
05/05/2020,214,244,63,61,65,67,26,33,49,71,11,13,0
05/06/2020,216,230,57,58,62,63,28,31,55,66,14,13,0
05/07/2020,174,219,41,55,52,60,18,28,52,62,11,13,0
05/08/2020,171,205,43,51,52,58,21,26,44,56,11,13,0
05/09/2020,123,193,31,48,37,56,11,25,35,52,9,12,0
05/10/2020,102,177,24,45,35,53,21,23,17,45,5,11,0
05/11/2020,186,169,47,44,54,51,24,21,57,44,4,9,0
05/12/2020,115,155,27,39,38,47,13,19,27,41,10,9,0
05/13/2020,128,143,27,34,46,45,18,18,26,37,11,9,0
05/14/2020,146,139,27,32,40,43,24,19,44,36,11,9,0
05/15/2020,127,132,24,30,42,42,24,19,31,34,6,8,0
05/16/2020,91,128,16,27,29,41,12,19,30,33,4,7,0
05/17/2020,81,125,24,27,17,38,7,17,28,35,5,7,0
05/18/2020,114,115,20,24,27,34,25,18,36,32,6,8,0
05/19/2020,117,115,27,24,38,34,19,18,27,32,6,7,0
05/20/2020,80,108,17,22,31,32,11,17,17,30,4,6,0
05/21/2020,85,99,19,21,33,31,9,15,19,27,5,5,0
05/22/2020,102,96,23,21,36,30,13,14,26,26,4,5,0
05/23/2020,73,93,18,21,22,29,8,13,21,25,4,5,0
05/24/2020,89,94,20,21,22,30,22,15,20,24,5,5,0
05/25/2020,77,89,25,21,19,29,10,13,20,21,3,4,0
05/26/2020,75,83,22,21,19,26,9,12,21,21,4,4,0
05/27/2020,77,83,18,21,19,24,12,12,24,22,4,4,0
05/28/2020,82,82,15,20,26,23,12,12,22,22,7,4,0
05/29/2020,85,80,21,20,22,21,11,12,28,22,3,4,0
05/30/2020,55,77,14,19,18,21,6,12,15,21,2,4,0
05/31/2020,60,73,13,18,17,20,9,10,21,22,0,3,0
06/01/2020,85,74,17,17,36,22,14,10,15,21,3,3,0
06/02/2020,63,72,12,16,22,23,10,11,14,20,5,3,0
06/03/2020,75,72,16,15,27,24,10,10,19,19,3,3,0
06/04/2020,76,71,14,15,28,24,11,10,21,19,2,3,0
06/05/2020,57,67,9,14,18,24,9,10,19,18,2,2,0
06/06/2020,37,65,10,13,8,22,6,10,12,17,1,2,0
06/07/2020,53,64,13,13,17,22,9,10,10,16,4,3,0
06/08/2020,62,60,9,12,20,20,9,9,22,17,2,3,0
06/09/2020,65,61,14,12,23,20,11,9,13,17,4,3,0
06/10/2020,64,59,13,12,16,19,14,10,18,16,3,3,0
06/11/2020,52,56,12,11,15,17,9,10,15,16,1,2,0
06/12/2020,56,56,14,12,22,17,6,9,11,14,3,3,0
06/13/2020,34,55,4,11,10,18,5,9,14,15,1,3,0
06/14/2020,45,54,12,11,14,17,5,8,14,15,0,2,0
06/15/2020,55,53,15,12,22,17,5,8,13,14,0,2,0
06/16/2020,64,53,12,12,25,18,7,7,19,15,1,1,0
06/17/2020,51,51,11,11,15,18,8,6,17,15,0,1,0
06/18/2020,58,52,9,11,16,18,6,6,25,16,2,1,0
06/19/2020,44,50,11,11,23,18,2,5,8,16,0,1,0
06/20/2020,27,49,5,11,10,18,4,5,8,15,0,0,0
06/21/2020,44,49,6,10,16,18,7,6,13,15,2,1,0
06/22/2020,51,48,12,9,19,18,7,6,11,14,2,1,0
06/23/2020,44,46,7,9,17,17,5,6,13,14,2,1,0
06/24/2020,54,46,8,8,20,17,7,5,15,13,4,2,0
06/25/2020,44,44,12,9,10,16,6,5,13,12,3,2,0
06/26/2020,33,42,8,8,14,15,4,6,5,11,2,2,0
06/27/2020,43,45,9,9,21,17,6,6,6,11,1,2,0
06/28/2020,32,43,6,9,11,16,3,5,12,11,0,2,0
06/29/2020,50,43,7,8,23,17,4,5,14,11,2,2,0
06/30/2020,45,43,9,8,16,16,8,5,10,11,2,2,0
07/01/2020,38,41,8,8,11,15,7,5,12,10,0,1,0
07/02/2020,45,41,10,8,13,16,8,6,14,10,0,1,0
07/03/2020,30,40,4,8,14,16,7,6,4,10,1,1,0
07/04/2020,31,39,4,7,8,14,8,6,10,11,1,1,0
07/05/2020,27,38,6,7,4,13,6,7,11,11,0,1,0
07/06/2020,56,39,9,7,18,12,7,7,20,12,2,1,0
07/07/2020,48,39,19,9,7,11,9,7,12,12,1,1,0
07/08/2020,34,39,8,9,12,11,8,8,5,11,1,1,0
07/09/2020,45,39,16,9,11,11,6,7,11,10,1,1,0
07/10/2020,44,41,9,10,16,11,1,6,15,12,3,1,0
07/11/2020,33,41,6,10,13,12,5,6,9,12,0,1,0
07/12/2020,27,41,7,11,10,12,4,6,6,11,0,1,0
07/13/2020,51,40,11,11,16,12,8,6,11,10,5,2,0
07/14/2020,44,40,11,10,9,12,8,6,16,10,0,1,0
07/15/2020,44,41,9,10,20,14,3,5,10,11,2,2,0
07/16/2020,35,40,13,9,8,13,4,5,7,11,3,2,0
07/17/2020,51,41,8,9,15,13,10,6,17,11,1,2,0
07/18/2020,26,40,6,9,6,12,5,6,8,11,1,2,0
07/19/2020,38,41,7,9,11,12,2,6,16,12,2,2,0
07/20/2020,38,39,11,9,11,11,5,5,8,12,3,2,0
07/21/2020,26,37,6,9,9,11,2,4,6,10,3,2,0
07/22/2020,39,36,7,8,14,11,5,5,11,10,2,2,0
07/23/2020,32,36,4,7,7,10,10,6,6,10,5,2,0
07/24/2020,41,34,12,8,12,10,5,5,11,9,1,2,0
07/25/2020,36,36,9,8,11,11,4,5,8,9,4,3,0
07/26/2020,25,34,6,8,6,10,6,5,5,8,2,3,0
07/27/2020,39,34,12,8,11,10,5,5,10,8,1,3,0
07/28/2020,38,36,7,8,19,11,2,5,7,8,3,3,0
07/29/2020,29,34,5,8,11,11,6,5,5,7,2,3,0
07/30/2020,39,35,6,8,17,12,3,4,11,8,2,2,0
07/31/2020,34,34,8,8,9,12,9,5,6,7,2,2,0
08/01/2020,27,33,5,7,14,12,5,5,1,6,2,2,0
08/02/2020,32,34,5,7,9,13,3,5,11,7,4,2,0
08/03/2020,39,34,13,7,11,13,6,5,8,7,1,2,0
08/04/2020,33,33,11,8,13,12,2,5,6,7,1,2,0
08/05/2020,38,35,9,8,14,12,3,4,12,8,0,2,0
08/06/2020,34,34,8,8,12,12,4,5,7,7,3,2,0
08/07/2020,24,32,7,8,8,12,4,4,5,7,0,2,0
08/08/2020,21,32,7,9,7,11,1,3,5,8,1,1,0
08/09/2020,26,31,8,9,9,11,3,3,5,7,1,1,0
08/10/2020,41,31,10,9,14,11,6,3,9,7,2,1,0
08/11/2020,24,30,10,8,9,10,0,3,2,6,3,1,0
08/12/2020,33,29,5,8,10,10,6,3,11,6,1,2,0
08/13/2020,38,30,9,8,13,10,7,4,9,7,0,1,0
08/14/2020,37,31,6,8,10,10,5,4,14,8,2,1,0
08/15/2020,23,32,7,8,6,10,3,4,5,8,2,2,0
08/16/2020,21,31,10,8,5,10,0,4,5,8,1,2,0
08/17/2020,33,30,9,8,6,8,3,3,15,9,0,1,0
08/18/2020,39,32,14,9,9,8,3,4,12,10,1,1,0
08/19/2020,37,33,5,9,15,9,8,4,8,10,1,1,0
08/20/2020,37,32,13,9,8,8,4,4,11,10,1,1,0
08/21/2020,31,32,9,10,9,8,4,4,9,9,0,1,0
08/22/2020,27,32,6,9,6,8,7,4,7,10,1,1,0
08/23/2020,21,32,3,8,5,8,2,4,11,10,0,1,0
08/24/2020,36,33,13,9,9,9,7,5,5,9,2,1,0
08/25/2020,42,33,11,9,14,9,7,6,9,9,1,1,0
08/26/2020,26,31,5,9,13,9,2,5,4,8,2,1,0
08/27/2020,30,30,8,8,8,9,2,4,10,8,2,1,0
08/28/2020,22,29,4,7,9,9,1,4,7,8,1,1,0
08/29/2020,22,28,6,7,10,10,1,3,4,7,1,1,0
08/30/2020,21,28,2,7,5,10,3,3,7,7,4,2,0
08/31/2020,40,29,9,6,13,10,5,3,12,8,1,2,0
09/01/2020,20,26,4,5,8,9,2,2,5,7,1,2,0
09/02/2020,27,26,3,5,13,9,1,2,10,8,0,1,0
