week_ending,CASERATE_CITY,CASERATE_BX,CASERATE_BK,CASERATE_MN,CASERATE_QN,CASERATE_SI,CASERATE_10001,CASERATE_10002,CASERATE_10003,CASERATE_10004,CASERATE_10005,CASERATE_10006,CASERATE_10007,CASERATE_10009,CASERATE_10010,CASERATE_10011,CASERATE_10012,CASERATE_10013,CASERATE_10014,CASERATE_10016,CASERATE_10017,CASERATE_10018,CASERATE_10019,CASERATE_10021,CASERATE_10022,CASERATE_10023,CASERATE_10024,CASERATE_10025,CASERATE_10026,CASERATE_10027,CASERATE_10028,CASERATE_10029,CASERATE_10030,CASERATE_10031,CASERATE_10032,CASERATE_10033,CASERATE_10034,CASERATE_10035,CASERATE_10036,CASERATE_10037,CASERATE_10038,CASERATE_10039,CASERATE_10040,CASERATE_10044,CASERATE_10065,CASERATE_10069,CASERATE_10075,CASERATE_10128,CASERATE_10280,CASERATE_10282,CASERATE_10301,CASERATE_10302,CASERATE_10303,CASERATE_10304,CASERATE_10305,CASERATE_10306,CASERATE_10307,CASERATE_10308,CASERATE_10309,CASERATE_10310,CASERATE_10312,CASERATE_10314,CASERATE_10451,CASERATE_10452,CASERATE_10453,CASERATE_10454,CASERATE_10455,CASERATE_10456,CASERATE_10457,CASERATE_10458,CASERATE_10459,CASERATE_10460,CASERATE_10461,CASERATE_10462,CASERATE_10463,CASERATE_10464,CASERATE_10465,CASERATE_10466,CASERATE_10467,CASERATE_10468,CASERATE_10469,CASERATE_10470,CASERATE_10471,CASERATE_10472,CASERATE_10473,CASERATE_10474,CASERATE_10475,CASERATE_11004,CASERATE_11101,CASERATE_11102,CASERATE_11103,CASERATE_11104,CASERATE_11105,CASERATE_11106,CASERATE_11109,CASERATE_11201,CASERATE_11203,CASERATE_11204,CASERATE_11205,CASERATE_11206,CASERATE_11207,CASERATE_11208,CASERATE_11209,CASERATE_11210,CASERATE_11211,CASERATE_11212,CASERATE_11213,CASERATE_11214,CASERATE_11215,CASERATE_11216,CASERATE_11217,CASERATE_11218,CASERATE_11219,CASERATE_11220,CASERATE_11221,CASERATE_11222,CASERATE_11223,CASERATE_11224,CASERATE_11225,CASERATE_11226,CASERATE_11228,CASERATE_11229,CASERATE_11230,CASERATE_11231,CASERATE_11232,CASERATE_11233,CASERATE_11234,CASERATE_11235,CASERATE_11236,CASERATE_11237,CASERATE_11238,CASERATE_11239,CASERATE_11354,CASERATE_11355,CASERATE_11356,CASERATE_11357,CASERATE_11358,CASERATE_11360,CASERATE_11361,CASERATE_11362,CASERATE_11363,CASERATE_11364,CASERATE_11365,CASERATE_11366,CASERATE_11367,CASERATE_11368,CASERATE_11369,CASERATE_11370,CASERATE_11372,CASERATE_11373,CASERATE_11374,CASERATE_11375,CASERATE_11377,CASERATE_11378,CASERATE_11379,CASERATE_11385,CASERATE_11411,CASERATE_11412,CASERATE_11413,CASERATE_11414,CASERATE_11415,CASERATE_11416,CASERATE_11417,CASERATE_11418,CASERATE_11419,CASERATE_11420,CASERATE_11421,CASERATE_11422,CASERATE_11423,CASERATE_11426,CASERATE_11427,CASERATE_11428,CASERATE_11429,CASERATE_11432,CASERATE_11433,CASERATE_11434,CASERATE_11435,CASERATE_11436,CASERATE_11691,CASERATE_11692,CASERATE_11693,CASERATE_11694,CASERATE_11697
08/08/2020,19.05,26.44,18.83,15.9,17.48,16.38,7.24,34.52,5.56,0,22.84,0,14.3,14,20.99,8.04,34.55,20.82,3.3,15.71,6.4,0,22.98,6.54,12.95,14.57,6.85,5.46,7.76,14.2,14.78,24.29,20.5,13.55,31.72,20.51,35.51,11.35,11.01,14.43,13.12,25.75,29.57,0,10.75,31.82,17.36,5.12,10.7,17.95,28.27,32.46,18.86,16.71,14,13.26,6.71,10.06,9.11,21.33,14.74,17.29,44.33,41.22,38.13,26.43,28.64,24.68,20.35,41.09,18.8,44.16,14.26,27.88,18.58,23.34,11.59,21.03,26.46,30.84,9.64,6.67,28.25,17.65,21.99,16.7,23.4,26.39,8.14,19.97,20.04,15.73,8.29,37.4,34.71,17.66,10.91,25.94,19.85,11.53,19.09,21.97,25.18,13.7,18.69,12.17,13.93,17.24,15.8,10.94,14.68,10.81,15.54,41.23,19.65,27.68,18.41,10.81,6.95,10.27,15.56,19.15,19.12,16.05,62.76,16.15,24.45,26.86,16.47,33.33,11.2,46.07,24.11,13.95,48.22,18.08,16.66,10.5,7.58,22.1,29.69,11.21,6.85,28.15,12.29,25.37,14.87,15.73,28.01,15.27,31.41,29.47,14.28,16.6,8.19,12.55,9.36,13.12,13.89,10.58,5.3,22.74,25.77,18.62,14.43,10.45,14.98,3.09,9.63,4.96,4.24,5.38,12.43,23.04,16.43,8.99,20.54,9.98,28.42,28.53,0,24.06,58.95
08/15/2020,20.03,28.06,19.3,15.84,18.41,22.05,14.49,10.62,3.71,0,45.68,0,14.3,8.75,38.98,10.05,25.92,17.35,6.59,15.71,0,8.48,11.49,8.72,9.71,12.95,22.26,13.1,23.28,7.89,6.33,21.73,10.25,22.03,26.96,29.05,23.67,14.19,22.02,24.05,13.12,40.47,31.84,8.57,7.17,15.91,17.36,5.12,0,0,25.7,27.05,30.17,26.26,28,22.72,13.41,3.35,18.22,29.86,19.66,20.54,29.56,39.89,45.76,42.29,52.51,22.53,18.99,29.01,12.53,23.78,14.26,38.5,21.43,23.34,16.23,26.64,25.48,37.27,17.9,20.01,18.83,23.54,30.45,16.7,28.08,21.11,27.15,13.31,25.76,15.73,16.58,21.37,0,3.21,5.46,38.92,17.65,18.45,15.72,21.97,26.66,24.36,6.89,16.22,18.58,24.78,2.87,10.94,22.02,17.57,19.98,65.55,20.87,13.84,25.77,19.45,22.6,14.38,20.01,17.96,7.87,18.73,29.54,10.76,15.95,29.41,13.39,18.75,11.2,15.36,9.27,8.88,21.92,25.83,5.55,0,18.96,5.52,44.54,11.21,18.26,21.11,17.21,12.68,20.82,31.47,16.48,29.46,28.99,29.47,11.9,16.6,16.38,11.58,9.36,13.12,9.26,28.21,21.19,22.74,25.77,15.96,22.68,18.81,27.47,6.17,19.27,9.92,4.24,16.15,9.33,41.15,30.12,14.98,23.97,9.98,19.44,19.02,7.89,19.25,0
08/22/2020,18.68,23.34,16.48,17.74,18.86,18.9,10.86,19.91,16.67,33.65,22.84,0,0,15.75,17.99,24.12,4.32,6.94,13.19,19.64,12.81,8.48,9.19,6.54,16.18,11.33,6.85,10.91,41.38,17.35,16.89,25.57,10.25,20.33,20.62,29.05,35.51,17.03,22.02,38.47,26.24,33.11,27.29,17.14,28.67,15.91,4.34,6.83,0,17.95,12.85,5.41,3.77,33.42,16.33,18.94,13.41,40.24,15.18,12.8,14.74,22.7,46.45,35.9,33.05,18.5,21.48,18.24,29.84,29.01,33.42,30.57,14.26,29.21,21.43,0,13.91,19.63,11.76,21.85,17.9,33.35,14.12,19.12,16.92,16.7,9.36,0,21.72,29.96,28.62,11.79,19.34,13.36,34.71,16.05,10.91,33.73,11.03,11.53,5.62,21.97,25.18,25.88,15.74,10.82,13.93,11.85,10.05,5.47,14.68,16.22,33.3,26.43,12.28,11.07,13.5,10.81,12.17,15.41,17.78,19.15,29.25,2.68,18.46,8.07,15.95,19.18,12.36,20.83,14.94,15.36,9.27,19.02,8.77,25.83,11.1,15.75,11.38,11.05,14.85,11.21,11.41,35.19,27.04,22.65,14.87,34.62,36.25,18.55,14.49,32.27,10.71,13.83,19.11,13.51,0,7.87,11.57,17.63,21.19,26.53,12.89,7.98,18.55,31.36,19.98,27.79,22.48,14.88,21.21,16.15,6.22,24.69,16.43,11.98,17.12,9.98,37.39,4.76,0,33.69,29.48
08/29/2020,19.67,25.88,20.82,16.7,16.9,18.27,7.24,10.62,18.53,0,22.84,59.14,14.3,10.5,23.99,12.06,17.28,6.94,13.19,29.46,12.81,0,18.38,15.26,16.18,1.62,5.14,17.46,12.93,12.62,10.56,20.45,23.92,30.5,25.38,20.51,23.67,11.35,14.68,19.24,52.48,11.04,45.49,0,14.34,31.82,13.02,10.25,0,17.95,20.56,21.64,18.86,16.71,21,17.04,6.71,10.06,6.07,42.66,16.38,20.54,16.89,34.57,38.13,21.15,33.42,24.68,20.35,20.55,35.51,23.78,38.7,33.19,27.15,0,23.19,11.22,19.6,42.41,16.53,26.68,32.96,26.48,25.38,8.35,9.36,0,32.58,16.64,14.31,23.59,30.4,10.69,0,16.05,23.19,33.73,22.06,14.99,14.6,23.02,32.59,31.97,19.67,14.87,20.12,17.24,12.93,18.24,17.13,28.38,34.41,20.09,19.65,5.54,12.27,17.29,19.13,15.41,15.56,27.53,48.37,18.73,11.08,12.11,21.26,21.74,14.42,8.33,16.81,30.72,16.69,10.15,17.53,12.91,0,42,15.17,11.05,0,11.21,11.41,14.08,27.04,17.21,11.89,15.73,26.37,8.73,28.99,32.27,7.14,11.07,8.19,14.48,9.36,2.62,6.94,17.63,31.79,18.95,6.44,13.3,16.49,20.91,12.48,12.35,25.69,9.92,12.73,16.15,15.54,18.11,13.69,14.98,18.83,9.98,56.84,4.76,15.78,14.44,29.48
09/05/2020,19.89,18.9,21.84,15.53,19.08,31.08,32.59,7.97,18.53,67.29,45.68,118.28,14.3,12.25,11.99,22.11,25.92,10.41,3.3,13.75,0,0,11.49,17.44,9.71,9.71,10.27,14.19,23.28,20.51,8.44,11.51,13.67,15.25,23.79,22.22,16.57,11.35,14.68,38.47,30.62,7.36,18.2,8.57,14.34,0,21.7,17.08,0,17.95,28.27,5.41,18.86,31.04,14,34.09,20.12,40.24,60.72,42.66,18.02,41.07,25.33,23.93,19.07,10.57,19.1,17.17,24.42,8.46,27.16,18.68,36.66,19.92,25.72,0,18.55,18.23,17.64,14.14,8.26,40.02,37.66,8.83,13.53,0,25.74,21.11,21.72,19.97,34.35,15.73,27.63,21.37,0,4.82,16.37,45.4,4.41,17.3,21.34,23.02,22.22,38.06,15.74,5.41,29.41,24.78,5.75,12.77,12.23,14.87,41.07,20.09,20.87,13.84,47.86,25.93,8.69,8.22,13.34,33.52,60.75,16.05,14.77,10.76,34.02,14.07,17.5,12.5,14.94,0,16.69,16.49,26.3,20.66,13.88,15.75,18.96,11.05,0,5.6,20.54,35.19,31.96,17.21,17.84,12.59,16.48,14.18,48.32,15.44,17.85,30.43,21.84,23.16,4.68,2.62,18.52,10.58,47.69,15.16,3.22,21.28,20.62,25.09,17.48,6.17,19.27,34.72,8.48,0,3.11,11.52,16.43,10.48,22.25,4.99,46.37,14.27,7.89,14.44,88.43
09/12/2020,23.29,22.35,26.37,20.26,21.12,30.24,43.46,6.64,51.87,0,22.84,0,14.3,40.24,20.99,16.08,38.87,27.76,16.48,17.68,0,33.93,27.57,23.98,38.84,8.09,10.27,27.29,18.1,23.66,19,16.62,20.5,13.55,22.2,11.96,14.2,17.03,25.7,19.24,30.62,0,29.57,8.57,21.51,0,17.36,8.54,0,0,7.71,27.05,7.54,23.87,23.33,30.3,46.94,33.53,54.65,46.93,45.86,25.94,29.56,53.18,25.42,15.86,14.32,25.75,17.63,8.46,33.42,16.99,12.22,25.23,21.43,0,20.87,25.24,21.56,24.42,9.64,26.68,9.42,29.42,15.23,16.7,21.06,26.39,13.57,29.96,54.38,0,30.4,13.36,0,11.24,15,27.24,11.03,23.07,25.83,39.76,20.74,48.72,30.49,8.11,13.93,20.47,8.62,20.06,4.89,21.62,28.86,12.69,14.73,22.15,109.21,17.29,22.6,12.33,8.89,41.9,108,13.38,29.54,13.45,21.26,30.69,7.21,4.17,18.67,15.36,7.42,3.8,13.15,10.33,11.1,10.5,11.38,0,14.85,19.61,41.08,49.27,41.79,21.75,26.76,18.88,9.89,8.73,50.73,36.48,24.99,27.67,13.65,12.55,14.03,15.75,18.52,38.79,68.88,18.95,3.22,26.61,10.31,8.36,19.98,9.26,16.06,19.84,25.45,16.15,21.76,32.92,8.21,11.98,18.83,19.96,62.82,19.02,0,24.06,58.95
09/19/2020,25.6,22.42,33.01,19.52,22.98,28.35,14.49,21.24,38.9,33.65,57.1,29.57,28.61,31.5,14.99,8.04,21.6,17.35,29.67,27.5,0,67.85,25.27,41.42,12.95,16.19,13.7,6.55,12.93,17.35,8.44,17.9,10.25,28.8,14.27,32.47,11.84,2.84,18.35,9.62,13.12,11.04,20.47,17.14,43.01,15.91,26.04,17.08,10.7,0,17.99,27.05,7.54,35.81,35,35.98,6.71,30.18,12.14,38.39,34.4,30.26,33.78,33.24,27.96,18.5,14.32,13.95,16.28,36.26,39.69,18.68,22.4,29.21,18.58,0,6.96,14.02,18.62,25.7,15.15,33.35,23.54,16.18,27.07,16.7,21.06,26.39,24.43,16.64,20.04,15.73,8.29,37.4,17.35,20.87,8.18,55.78,35.29,33.44,10.11,7.32,8.89,57.85,47.21,9.46,40.25,25.86,10.05,10.94,4.89,52.71,49.95,11.63,6.14,22.15,170.57,12.97,20.86,13.35,22.23,68.24,112.5,5.35,29.54,10.76,35.09,38.36,12.36,16.67,22.41,0,14.84,11.41,30.68,5.17,11.1,21,0,33.15,14.85,2.8,25.11,56.31,46.71,14.5,35.68,9.44,14.83,27.28,48.32,35.08,7.14,19.37,35.48,13.51,18.71,13.12,9.26,52.89,68.88,26.53,22.55,13.3,10.31,12.54,14.98,12.35,28.9,39.68,25.45,10.76,12.43,62.55,16.43,7.49,27.39,9.98,83.76,9.51,15.78,4.81,58.95
09/26/2020,32.78,26.3,47.35,21.67,26.89,39.69,10.86,23.9,40.76,100.94,11.42,59.14,28.61,22.75,14.99,20.1,47.51,31.23,29.67,31.43,38.43,25.44,20.68,15.26,6.47,25.9,20.54,24.01,25.86,14.2,14.78,15.34,10.25,11.86,17.45,25.63,21.31,5.68,47.72,14.43,48.11,18.4,22.74,8.57,32.26,15.91,26.04,8.54,32.1,17.95,33.41,27.05,30.17,21.49,46.67,60.6,46.94,53.65,39.47,46.93,37.67,34.59,21.11,33.24,24.15,5.29,28.64,24.68,12.21,31.42,25.07,27.18,36.66,33.19,31.44,23.34,20.87,12.62,25.48,53.98,17.9,6.67,14.12,29.42,23.68,0,37.44,5.28,35.29,39.94,28.62,15.73,11.05,21.37,34.71,14.45,24.55,112.86,57.35,35.75,20.22,17.79,34.07,115.7,63.93,27.04,47.99,14.01,4.31,20.06,4.89,54.06,102.13,10.57,15.96,30.45,175.48,10.81,27.82,16.43,28.9,104.15,165.37,10.7,3.69,25.56,41.46,78.01,11.33,50,14.94,7.68,20.4,10.15,21.92,7.75,30.53,5.25,22.75,11.05,0,11.21,38.8,49.27,88.5,20.84,35.68,18.88,21.42,26.18,57.98,40.69,24.99,24.9,21.84,14.48,23.39,7.87,6.94,52.89,52.99,37.89,22.55,29.27,16.49,27.18,34.96,6.17,32.11,14.88,25.45,5.38,9.33,41.15,10.95,17.97,23.97,19.96,98.72,14.27,7.89,19.25,0
10/03/2020,41.9,28.77,59.85,27.87,39,46.2,28.97,18.59,44.46,0,34.26,29.57,14.3,14,26.98,22.11,56.15,27.76,32.96,41.25,32.02,50.89,22.98,17.44,16.18,19.42,18.83,31.65,28.45,14.2,35.89,21.73,41,32.19,52.34,35.89,11.84,42.57,14.68,19.24,30.62,36.79,45.49,8.57,17.92,47.74,39.05,20.49,32.1,0,48.84,37.87,15.09,45.36,32.67,20.83,100.59,67.07,63.75,102.38,50.78,37.83,40.11,43.88,43.21,7.93,31.03,22.53,20.35,20.55,27.16,25.48,40.73,27.88,28.58,23.34,53.34,28.05,26.46,30.84,24.79,40.02,23.54,26.48,27.07,16.7,9.36,5.28,32.58,93.19,40.07,19.66,30.4,32.06,17.35,12.84,19.1,89.51,39.71,40.36,30.33,34.53,35.55,130.92,77.7,22.98,44.89,28.01,10.05,32.83,31.81,83.79,155.41,35.94,29.47,30.45,219.65,41.06,39.99,27.73,42.24,110.14,217.12,16.05,18.46,22.87,64.85,76.73,23.68,39.58,22.41,23.04,33.38,13.95,13.15,23.25,16.66,21,26.54,16.57,0,33.62,34.23,49.27,88.5,24.46,26.76,37.76,41.2,31.64,74.89,40.69,35.69,16.6,35.48,39.57,9.36,21,37.03,35.26,111.27,41.68,51.54,39.91,18.55,48.08,14.98,3.09,77.08,39.68,29.7,26.91,31.09,67.48,35.6,13.48,46.22,29.94,158.55,19.02,39.46,43.31,0
10/10/2020,42.02,33.63,57.03,27.69,39.67,46.41,36.21,23.9,29.64,100.94,68.51,29.57,57.21,28,26.98,28.14,64.79,10.41,42.85,41.25,25.62,50.89,25.27,23.98,12.95,21.04,15.41,19.65,23.28,25.24,19,23.01,17.08,37.27,19.03,46.14,49.71,28.38,25.7,19.24,52.48,11.04,38.67,17.14,21.51,0,26.04,32.45,0,17.95,38.56,32.46,22.63,45.36,60.67,71.96,87.18,16.77,39.47,29.86,39.31,52.96,38,42.55,44.49,7.93,33.42,19.31,39.34,29.01,29.24,33.97,36.66,33.19,27.15,46.67,34.78,23.84,30.37,39.84,37.18,20.01,42.37,38.25,49.06,25.05,35.1,26.39,38.01,73.22,42.93,11.79,46.97,56.11,17.35,17.66,27.28,111.56,46.32,41.52,35.94,43.95,44.43,123.31,66.89,27.04,41.79,48.48,28.73,41.95,31.81,81.09,143.2,41.23,12.28,33.22,137.44,84.29,15.65,23.62,31.12,102.96,164.25,16.05,51.69,17.49,44.65,79.29,33.98,43.75,14.94,53.75,16.69,12.68,52.6,41.33,30.53,26.25,37.92,38.67,14.85,39.23,22.82,35.19,76.21,28.99,20.82,34.62,56.03,45.82,67.64,56.13,34.5,22.13,35.48,26.06,32.74,31.5,34.72,38.79,84.78,79.58,19.33,34.59,41.23,41.81,37.45,6.17,35.33,34.72,16.97,26.91,21.76,65.84,21.9,20.97,63.34,29.94,104.7,52.31,7.89,24.06,0
