DATE_OF_INTEREST,AS_OF,"Cases/day, 7 day avg",DEATH_COUNT,"Deaths/day, 7 day avg",HOSPITALIZED_CASE_COUNT,"Hospitalized/day, 7 day avg",NEW_COVID_CASE_COUNT
2020-03-02,2020-03-26 11:26:41,1.0,,,,,1
2020-03-03,2020-03-26 11:26:41,1.5,,,3.0,3.0,2
2020-03-04,2020-03-26 11:26:41,4.0,,,3.0,3.0,9
2020-03-05,2020-03-26 11:26:41,3.25,,,4.0,3.3333333333333335,1
2020-03-06,2020-03-26 11:26:41,4.2,,,5.0,3.75,8
2020-03-07,2020-03-26 11:26:41,5.333333333333333,,,9.0,4.8,11
2020-03-08,2020-03-26 11:26:41,7.428571428571429,,,13.0,6.166666666666667,20
2020-03-09,2020-03-26 11:26:41,14.857142857142858,,,25.0,8.857142857142858,53
2020-03-10,2020-03-26 11:26:41,24.428571428571427,,,42.0,14.428571428571429,69
2020-03-11,2020-03-26 11:26:41,45.285714285714285,,,53.0,21.571428571428573,155
2020-03-12,2020-03-26 11:26:41,95.14285714285714,,,69.0,30.857142857142858,350
2020-03-13,2020-03-26 11:26:41,180.14285714285714,1.0,1.0,123.0,47.714285714285715,603
2020-03-14,2020-03-26 11:26:41,264.42857142857144,2.0,1.5,160.0,69.28571428571429,601
2020-03-15,2020-03-26 11:26:41,400.85714285714283,5.0,2.6666666666666665,193.0,95.0,975
2020-03-16,2020-03-26 11:26:41,666.5714285714286,9.0,4.25,290.0,132.85714285714286,1913
2020-03-17,2020-03-26 11:26:41,965.7142857142857,7.0,4.8,315.0,171.85714285714286,2163
2020-03-18,2020-03-26 11:26:41,1282.2857142857142,16.0,6.666666666666667,355.0,215.0,2371
2020-03-19,2020-03-26 11:26:41,1575.2857142857142,19.0,8.428571428571429,434.0,267.14285714285717,2401
2020-03-20,2020-03-26 11:26:41,1859.7142857142858,37.0,13.571428571428571,492.0,319.85714285714283,2594
2020-03-21,2020-03-26 11:26:41,1972.142857142857,30.0,17.571428571428573,415.0,356.2857142857143,1388
2020-03-22,2020-03-26 11:26:41,2013.7142857142858,33.0,21.571428571428573,415.0,388.0,1266
2020-03-23,2020-03-26 11:26:41,1984.2857142857142,49.0,27.285714285714285,361.0,398.14285714285717,1707
2020-03-24,2020-03-26 11:26:41,1865.0,53.0,33.857142857142854,137.0,372.7142857142857,1328
2020-03-25,2020-03-26 11:26:41,1529.2857142857142,18.0,34.142857142857146,,375.6666666666667,21
2020-03-02,2020-03-27 10:03:51,1.0,,,,,1
2020-03-03,2020-03-27 10:03:51,1.5,,,3.0,3.0,2
