MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE
10001,Chelsea - Clinton,Manhattan,335,1421.72,23563.03,17,72.15,24.26
10002,Union Square - Lower East Side,Manhattan,975,1270.27,76755.41,138,179.79,33.8
10003,Union Square - Lower East Side,Manhattan,430,799.23,53801.62,30,55.76,22.14
10004,Lower Manhattan,Manhattan,29,794.39,3650.61,1,27.39,21.71
10005,Lower Manhattan,Manhattan,58,690.8,8396.11,1,11.91,17.33
10006,Lower Manhattan,Manhattan,23,665.17,3457.77,0,0,16.91
10007,Lower Manhattan,Manhattan,50,606.08,8249.73,3,36.36,16.18
10009,Union Square - Lower East Side,Manhattan,657,1118.34,58747.99,63,107.24,25.85
10010,Gramercy Park - Murray Hill,Manhattan,251,775.36,32371.86,20,61.78,17.04
10011,Chelsea - Clinton,Manhattan,493,995.95,49500.52,33,66.67,24.5
10012,Greenwich Village - Soho,Manhattan,155,646.34,23981.2,7,29.19,21.77
10013,Greenwich Village - Soho,Manhattan,247,850.81,29031.09,18,62,22.46
10014,Greenwich Village - Soho,Manhattan,283,911.63,31043.16,23,74.09,24.14
10016,Gramercy Park - Murray Hill,Manhattan,642,1222.29,52524.35,46,87.58,21.32
10017,Gramercy Park - Murray Hill,Manhattan,132,818.49,16127.22,5,31,17.79
10018,Chelsea - Clinton,Manhattan,200,2098.32,9531.44,3,31.47,27.78
10019,Chelsea - Clinton,Manhattan,558,1373.32,40631.45,42,103.37,25.39
10021,Upper East Side,Manhattan,526,1190.7,44175.61,57,129.03,21.42
10022,Gramercy Park - Murray Hill,Manhattan,325,1071.38,30334.8,25,82.41,20.87
10023,Upper West Side,Manhattan,527,874.33,60274.81,50,82.95,20.77
10024,Upper West Side,Manhattan,615,1072.59,57337.68,62,108.13,23.23
10025,Upper West Side,Manhattan,1169,1266.06,92333.47,144,155.96,26.28
10026,Central Harlem - Morningside Height,Manhattan,611,1565.94,39018.03,37,94.83,29.66
10027,Central Harlem - Morningside Height,Manhattan,959,1507.13,63631.04,96,150.87,30.74
10028,Upper East Side,Manhattan,448,911.4,49155.08,28,56.96,21.1
10029,East Harlem,Manhattan,1698,2153.69,78841.52,182,230.84,35.88
10030,Central Harlem - Morningside Height,Manhattan,469,1599.49,29321.91,43,146.65,31.66
10031,Washington Heights - Inwood,Manhattan,1224,2021.24,60556.93,112,184.95,36.08
10032,Washington Heights - Inwood,Manhattan,1387,2255.56,61492.57,146,237.43,35.99
10033,Washington Heights - Inwood,Manhattan,1244,2100.98,59210.43,107,180.71,35.46
10034,Washington Heights - Inwood,Manhattan,667,1548.51,43073.65,65,150.9,28.97
10035,East Harlem,Manhattan,901,2617.16,34426.65,101,293.38,34.75
10036,Chelsea - Clinton,Manhattan,389,1484.1,26211.25,33,125.9,25.66
10037,Central Harlem - Morningside Height,Manhattan,507,2455.25,20649.62,63,305.09,26.61
10038,Lower Manhattan,Manhattan,233,1056.79,22047.96,25,113.39,26.81
10039,Central Harlem - Morningside Height,Manhattan,478,1806.67,26457.52,49,185.2,31.42
10040,Washington Heights - Inwood,Manhattan,1055,2354.48,44808.28,102,227.64,35.27
10044,Upper East Side,Manhattan,222,1897.39,11700.29,31,264.95,33.53
10065,Upper East Side,Manhattan,316,1087.35,29061.49,24,82.58,19.62
10069,Upper West Side,Manhattan,52,820.43,6338.13,2,31.56,21.52
10075,Upper East Side,Manhattan,362,1531.68,23634.14,41,173.48,25.51
10128,Upper East Side,Manhattan,603,982.85,61351.93,34,55.42,20.49
10280,Lower Manhattan,Manhattan,43,447.05,9618.7,0,0,17.27
10282,Lower Manhattan,Manhattan,68,1232.9,5515.44,13,235.7,29.18
10301,Stapleton - St. George,Staten Island,1096,2766.73,39613.55,95,239.82,35.77
10302,Port Richmond,Staten Island,609,3243.85,18773.99,29,154.47,39.97
10303,Port Richmond,Staten Island,814,3103.12,26231.66,39,148.68,37.7
10304,Stapleton - St. George,Staten Island,1322,3114.35,42448.71,150,353.37,35.91
10305,Stapleton - St. George,Staten Island,1181,2774.84,42560.99,65,152.72,33.27
10306,South Beach - Tottenville,Staten Island,1395,2598.46,53685.66,72,134.11,30.41
10307,South Beach - Tottenville,Staten Island,364,2392.45,15214.56,14,92.02,31.01
10308,South Beach - Tottenville,Staten Island,612,2065.1,29635.33,25,84.36,28.96
10309,South Beach - Tottenville,Staten Island,813,2463.26,33004.98,28,84.84,30.67
10310,Port Richmond,Staten Island,701,2936.62,23870.96,28,117.3,33.21
10312,South Beach - Tottenville,Staten Island,1442,2391.2,60304.33,57,94.52,31.36
10314,Willowbrook,Staten Island,2539,2795.2,90834.29,165,181.65,34.19
10451,High Bridge - Morrisania,Bronx,1533,3212.57,47718.77,144,301.77,38.32
10452,High Bridge - Morrisania,Bronx,2208,2866.23,77035.04,148,192.12,38.67
10453,Crotona - Tremont,Bronx,2228,2744.38,81184.04,145,178.61,39.66
10454,Hunts Point - Mott Haven,Bronx,1072,2804.56,38223.41,97,253.77,34.42
10455,Hunts Point - Mott Haven,Bronx,1192,2826.36,42174.38,90,213.4,38.32
10456,High Bridge - Morrisania,Bronx,2342,2506.37,93441.91,254,271.83,36.46
10457,Crotona - Tremont,Bronx,1952,2613.64,74685.06,166,222.27,37.47
10458,Fordham - Bronx Park,Bronx,1922,2293.34,83807.74,107,127.67,37.19
10459,Hunts Point - Mott Haven,Bronx,1417,2930.44,48354.56,149,308.14,40.68
10460,Crotona - Tremont,Bronx,1555,2588.51,60073.25,107,178.12,39.06
10461,Pelham - Throgs Neck,Bronx,1816,3670.2,49479.56,121,244.55,35.06
10462,Pelham - Throgs Neck,Bronx,2165,2799.6,77332.41,156,201.73,36.14
10463,Kingsbridge - Riverdale,Bronx,1813,2543.23,71287.33,174,244.08,34.02
10464,Pelham - Throgs Neck,Bronx,117,2687.7,4353.16,6,137.83,26.83
