MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS
10001,Chelsea/NoMad/West Chelsea,Manhattan,410,1740.01,23563.03,24,101.85,8.17,5016
10002,Chinatown/Lower East Side,Manhattan,1194,1555.59,76755.41,159,207.15,11.43,10449
10003,East Village/Gramercy/Greenwich Village,Manhattan,497,923.76,53801.62,34,63.2,6.17,8052
10004,Financial District,Manhattan,36,986.14,3650.61,1,27.39,6.58,547
10005,Financial District,Manhattan,74,881.36,8396.11,2,23.82,5.94,1245
10006,Financial District,Manhattan,34,983.29,3457.77,0,0,5.94,572
10007,TriBeCa,Manhattan,67,812.15,8249.73,3,36.36,5.04,1330
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,763,1298.77,58747.99,69,117.45,8.26,9239
10010,Flatiron/Gramercy/Kips Bay,Manhattan,296,914.37,32371.86,19,58.69,5.36,5520
10011,Chelsea,Manhattan,562,1135.34,49500.52,43,86.87,6.75,8332
10012,Greenwich Village/SoHo,Manhattan,184,767.27,23981.2,9,37.53,5.6,3285
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,295,1016.15,29031.09,21,72.34,5.93,4971
10014,Hudson Square/Meatpacking District/West Village,Manhattan,343,1104.91,31043.16,28,90.2,6.14,5582
10016,Kips Bay/Murray Hill/NoMad,Manhattan,762,1450.76,52524.35,49,93.29,7.81,9755
10017,East Midtown/Murray Hill,Manhattan,155,961.11,16127.22,8,49.61,5.92,2620
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,244,2559.95,9531.44,5,52.46,8.88,2747
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,648,1594.82,40631.45,42,103.37,7.91,8190
10021,Lenox Hill/Upper East Side,Manhattan,602,1362.74,44175.61,65,147.14,7.24,8312
10022,East Midtown,Manhattan,369,1216.42,30334.8,30,98.9,6.62,5578
10023,Lincoln Square,Manhattan,600,995.44,60274.81,53,87.93,6.08,9876
10024,Upper West Side,Manhattan,774,1349.9,57337.68,72,125.57,7.44,10402
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,1458,1579.06,92333.47,172,186.28,8.02,18183
10026,Central Harlem (South),Manhattan,694,1778.66,39018.03,47,120.46,11.99,5788
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,1117,1755.43,63631.04,113,177.59,11.62,9615
10028,Upper East Side/Yorkville,Manhattan,505,1027.36,49155.08,31,63.07,6.64,7611
