DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
2/29/20,1,14,0
3/1/20,1,4,0
3/2/20,0,22,0
3/3/20,2,20,0
3/4/20,5,22,0
3/5/20,3,22,0
3/6/20,7,22,0
3/7/20,7,15,0
3/8/20,21,18,0
3/9/20,57,51,0
3/10/20,70,63,0
3/11/20,154,86,1
3/12/20,356,92,1
3/13/20,621,148,0
3/14/20,643,160,2
3/15/20,1032,192,6
3/16/20,2122,307,9
3/17/20,2453,355,8
3/18/20,2976,468,20
3/19/20,3706,552,24
3/20/20,4010,666,46
3/21/20,2634,693,44
3/22/20,2575,727,49
3/23/20,3555,1045,82
3/24/20,4488,1160,95
3/25/20,4830,1293,121
3/26/20,5020,1429,189
3/27/20,5088,1389,214
3/28/20,3452,1340,262
3/29/20,3521,1391,289
3/30/20,6098,1689,321
3/31/20,5257,1534,372
4/1/20,5149,1458,421
4/2/20,5751,1607,471
4/3/20,5642,1600,468
4/4/20,3847,1337,482
4/5/20,3765,1331,551
4/6/20,6348,1685,546
4/7/20,6044,1559,577
4/8/20,5552,1520,532
4/9/20,5029,1391,523
4/10/20,4412,1304,504
4/11/20,3704,1067,516
4/12/20,2867,962,541
4/13/20,3286,1202,538
4/14/20,4120,1059,490
4/15/20,3867,987,431
4/16/20,3526,863,388
4/17/20,3555,895,355
4/18/20,2117,644,356
4/19/20,2351,596,361
4/20/20,3768,721,333
4/21/20,3058,669,294
4/22/20,3457,605,291
4/23/20,2832,526,300
4/24/20,2464,573,291
4/25/20,1589,408,230
4/26/20,1010,374,223
4/27/20,2304,459,237
4/28/20,2712,452,202
4/29/20,2334,419,200
4/30/20,2003,329,184
5/1/20,1863,365,171
5/2/20,1047,267,160
5/3/20,776,238,146
5/4/20,1535,285,119
5/5/20,1503,251,100
5/6/20,1382,236,106
5/7/20,1211,212,85
5/8/20,1040,199,73
5/9/20,612,135,58
5/10/20,401,72,37
5/11/20,586,7,35
5/12/20,18,0,0
