MODZCTA,Positive,Total,zcta_cum.perc_pos
NA,1443,1710,84.39
10001,300,759,39.53
10002,828,1746,47.42
10003,381,1037,36.74
10004,26,79,32.91
10005,51,171,29.82
10006,21,78,26.92
10007,45,178,25.28
10009,587,1526,38.47
10010,225,763,29.49
10011,450,1109,40.58
10012,136,428,31.78
10013,207,579,35.75
10014,252,655,38.47
10016,566,1632,34.68
10017,123,407,30.22
10018,186,494,37.65
10019,495,1266,39.1
10021,474,1425,33.26
10022,280,868,32.26
10023,481,1428,33.68
10024,541,1552,34.86
10025,1030,2623,39.27
10026,515,1213,42.46
10027,776,1683,46.11
10028,409,1239,33.01
10029,1438,2983,48.21
10030,401,829,48.37
10031,994,1826,54.44
10032,1146,2192,52.28
10033,1019,1871,54.46
10034,551,1160,47.5
10035,757,1485,50.98
10036,344,840,40.95
10037,342,734,46.59
10038,201,470,42.77
10039,407,884,46.04
10040,761,1418,53.67
10044,157,353,44.48
10065,277,928,29.85
10069,46,141,32.62
10075,334,883,37.83
10128,546,1699,32.14
10280,35,136,25.74
10282,64,148,43.24
10301,963,2163,44.52
10302,530,1122,47.24
10303,727,1609,45.18
10304,1161,2562,45.32
10305,1031,2559,40.29
10306,1251,3328,37.59
10307,342,876,39.04
10308,570,1545,36.89
10309,757,2021,37.46
10310,609,1498,40.65
10312,1327,3330,39.85
10314,2284,5491,41.6
10451,1334,2555,52.21
10452,1840,3466,53.09
10453,1834,3436,53.38
10454,911,1796,50.72
10455,993,1906,52.1
10456,1949,3730,52.25
10457,1630,3132,52.04
10458,1593,3214,49.56
10459,1197,2213,54.09
10460,1304,2540,51.34
10461,1562,3342,46.74
10462,1858,3941,47.15
10463,1494,3429,43.57
10464,114,318,35.85
10465,1293,3083,41.94
10466,1993,3895,51.17
10467,2723,5235,52.02
10468,1969,3612,54.51
10469,2406,4568,52.67
10470,376,825,45.58
10471,490,1192,41.11
10472,1562,2838,55.04
10473,1570,3246,48.37
10474,271,531,51.04
10475,1455,3309,43.97
11004,472,814,57.99
11101,502,1212,41.42
11102,483,1015,47.59
11103,428,957,44.72
11104,386,824,46.84
11105,412,1042,39.54
11106,513,1162,44.15
11109,44,157,28.03
11201,509,1420,35.85
11203,1627,3032,53.66
11204,1604,3135,51.16
11205,569,1356,41.96
11206,1201,2464,48.74
11207,1582,3142,50.35
11208,1773,3241,54.71
11209,928,2165,42.86
11210,1369,2625,52.15
11211,1607,3219,49.92
11212,1356,2663,50.92
11213,1142,2218,51.49
11214,1204,2384,50.5
11215,505,1361,37.11
11216,571,1272,44.89
11217,453,961,47.14
11218,1370,2606,52.57
11219,2257,4364,51.72
11220,1179,2193,53.76
11221,1003,1978,50.71
11222,363,842,43.11
11223,1358,2778,48.88
11224,860,1643,52.34
11225,967,1854,52.16
11226,1720,3199,53.77
11228,540,1147,47.08
11229,1263,2651,47.64
11230,1834,3582,51.2
11231,345,771,44.75
11232,398,677,58.79
11233,1003,1975,50.78
11234,1908,3723,51.25
11235,1585,3105,51.05
11236,2189,3999,54.74
11237,716,1260,56.83
11238,616,1297,47.49
11239,407,795,51.19
11354,873,1654,52.78
11355,985,1862,52.9
11356,453,896,50.56
11357,661,1405,47.05
11358,467,1038,44.99
11360,270,660,40.91
11361,367,826,44.43
11362,261,618,42.23
11363,86,219,39.27
11364,399,943,42.31
11365,681,1443,47.19
11366,340,664,51.2
11367,834,1765,47.25
11368,3417,5156,66.27
11369,1263,2012,62.77
11370,1161,2114,54.92
11372,2012,3244,62.02
11373,2606,4363,59.73
11374,902,1896,47.57
11375,1313,2794,46.99
11377,1705,3126,54.54
11378,604,1271,47.52
11379,662,1428,46.36
11385,1701,3320,51.23
11411,572,1022,55.97
11412,1056,1933,54.63
11413,1094,2022,54.1
11414,691,1325,52.15
11415,430,888,48.42
11416,544,988,55.06
11417,702,1335,52.58
11418,849,1639,51.8
11419,927,1734,53.46
11420,1110,2130,52.11
11421,948,1779,53.29
11422,809,1562,51.79
11423,825,1484,55.59
11426,425,866,49.08
11427,658,1223,53.8
11428,565,993,56.9
11429,796,1353,58.83
11432,1380,2481,55.62
11433,765,1454,52.61
11434,1636,3059,53.48
11435,1288,2483,51.87
11436,428,828,51.69
11691,1819,3152,57.71
11692,478,878,54.44
11693,282,567,49.74
11694,576,1175,49.02
11697,81,181,44.75
