"modzcta","Positive","Total","modzcta_cum_perc_pos"
NA,6242,6911,90.3
10001,347,1737,20
10002,1010,3603,28
10003,438,2532,17.3
10004,30,175,17.1
10005,59,417,14.1
10006,24,174,13.8
10007,49,385,12.7
10009,669,3229,20.7
10010,255,1921,13.3
10011,507,2598,19.5
10012,156,963,16.2
10013,254,1372,18.5
10014,287,1562,18.4
10016,653,3735,17.5
10017,135,938,14.4
10018,200,933,21.4
10019,579,2779,20.8
10021,542,3126,17.3
10022,328,2012,16.3
10023,546,3232,16.9
10024,644,3342,19.3
10025,1249,5648,22.1
10026,622,2422,25.7
10027,985,3626,27.2
10028,455,2661,17.1
10029,1740,5580,31.2
10030,480,1733,27.7
10031,1252,4062,30.8
10032,1447,4738,30.5
10033,1290,4270,30.2
10034,685,2661,25.7
10035,921,3030,30.4
10036,404,1858,21.7
10037,524,2132,24.6
10038,242,1091,22.2
10039,496,1769,28
10040,1075,3444,31.2
10044,231,797,29
10065,323,2078,15.5
10069,54,312,17.3
10075,405,1927,21
10128,614,3656,16.8
10280,47,345,13.6
10282,69,278,24.8
10301,1142,3666,31.2
10302,617,1672,36.9
10303,837,2453,34.1
10304,1348,4098,32.9
10305,1201,3922,30.6
10306,1418,5086,27.9
10307,369,1262,29.2
10308,617,2310,26.7
10309,822,2924,28.1
10310,706,2376,29.7
10312,1463,5135,28.5
10314,2568,8257,31.1
10451,1556,4514,34.5
10452,2284,6682,34.2
10453,2290,6381,35.9
10454,1100,3475,31.7
10455,1229,3518,34.9
10456,2393,7322,32.7
10457,1999,6065,33
10458,1961,5829,33.6
10459,1438,3890,37
10460,1582,4487,35.3
10461,1839,5648,32.6
10462,2198,6781,32.4
10463,1888,6355,29.7
10464,117,473,24.7
10465,1454,4905,29.6
10466,2310,6384,36.2
10467,3227,8826,36.6
10468,2641,7400,35.7
10469,2881,7880,36.6
10470,438,1528,28.7
10471,772,3169,24.4
10472,1877,4870,38.5
10473,1857,5352,34.7
10474,313,871,35.9
10475,1658,4949,33.5
11004,569,2219,25.6
11101,605,2521,24
11102,586,2103,27.9
11103,536,2022,26.5
11104,479,1651,29
11105,476,2083,22.9
11106,621,2261,27.5
11109,46,330,13.9
11201,663,3788,17.5
11203,1975,5673,34.8
11204,1975,7291,27.1
11205,695,2777,25
11206,1541,5424,28.4
11207,1995,6154,32.4
11208,2291,6451,35.5
11209,1089,4287,25.4
11210,1621,4895,33.1
11211,2016,7888,25.6
11212,1793,5691,31.5
11213,1333,4135,32.2
11214,1484,4874,30.4
11215,599,2966,20.2
11216,699,2758,25.3
11217,605,2208,27.4
11218,1645,5551,29.6
11219,2949,12084,24.4
11220,1470,4481,32.8
11221,1239,4183,29.6
11222,429,2138,20.1
11223,1656,5297,31.3
11224,1106,3395,32.6
11225,1118,3449,32.4
11226,2164,6384,33.9
11228,633,2213,28.6
11229,1578,7221,21.9
11230,2259,7694,29.4
11231,406,1704,23.8
11232,507,1448,35
11233,1213,3718,32.6
11234,2184,6505,33.6
11235,1970,6192,31.8
11236,2614,7150,36.6
11237,914,2718,33.6
11238,745,2802,26.6
11239,491,1459,33.7
11354,1136,3375,33.7
11355,1224,3415,35.8
11356,539,1619,33.3
11357,785,2636,29.8
11358,550,1939,28.4
11360,304,1267,24
11361,438,1651,26.5
11362,298,1060,28.1
11363,97,374,25.9
11364,454,1742,26.1
11365,807,2624,30.8
11366,380,1087,35
11367,1004,3165,31.7
11368,4341,10079,43.1
11369,1528,3650,41.9
11370,1291,3285,39.3
11372,2419,5885,41.1
11373,3139,8080,38.8
11374,1047,3362,31.1
11375,1474,4813,30.6
11377,2125,6347,33.5
11378,709,2371,29.9
11379,784,2556,30.7
11385,2072,6196,33.4
11411,670,1752,38.2
11412,1202,3256,36.9
11413,1273,3410,37.3
11414,789,2124,37.1
11415,518,1578,32.8
11416,686,1822,37.7
11417,862,2499,34.5
11418,1050,2931,35.8
11419,1139,3198,35.6
11420,1324,3640,36.4
11421,1156,3161,36.6
11422,943,2665,35.4
11423,1042,2816,37
11426,490,1394,35.2
11427,763,2195,34.8
11428,655,1649,39.7
11429,908,2447,37.1
11432,1729,4578,37.8
11433,904,2540,35.6
11434,2003,5763,34.8
11435,1580,4792,33
11436,505,1469,34.4
11691,2210,6012,36.8
11692,578,1696,34.1
11693,321,925,34.7
11694,688,2182,31.5
11697,104,790,13.2
