"modzcta","Positive","Total","modzcta_cum_perc_pos"
NA,6619,7462,88.7
10001,365,2267,16.1
10002,1047,4797,21.8
10003,447,3468,12.9
10004,31,246,12.6
10005,61,538,11.3
10006,24,246,9.8
10007,58,581,10
10009,688,4375,15.7
10010,267,2604,10.3
10011,518,3604,14.4
10012,162,1313,12.3
10013,258,1863,13.8
10014,297,2210,13.4
10016,683,4837,14.1
10017,143,1224,11.7
10018,203,1174,17.3
10019,595,3818,15.6
10021,560,4064,13.8
10022,336,2652,12.7
10023,556,4447,12.5
10024,686,4583,15
10025,1317,7804,16.9
10026,634,3006,21.1
10027,1024,4573,22.4
10028,467,3515,13.3
10029,1804,7154,25.2
10030,496,2152,23
10031,1303,5342,24.4
10032,1501,6008,25
10033,1341,5467,24.5
10034,703,3272,21.5
10035,942,3736,25.2
10036,414,2511,16.5
10037,538,2569,20.9
10038,248,1448,17.1
10039,515,2138,24.1
10040,1104,4226,26.1
10044,234,971,24.1
10065,327,2730,12
10069,54,424,12.7
10075,425,2432,17.5
10128,628,4706,13.3
10280,51,472,10.8
10282,70,343,20.4
10301,1172,4419,26.5
10302,632,1924,32.8
10303,863,2846,30.3
10304,1375,4742,29
10305,1227,4463,27.5
10306,1441,5845,24.7
10307,377,1390,27.1
10308,631,2587,24.4
10309,835,3285,25.4
10310,718,2775,25.9
10312,1491,5797,25.7
10314,2615,9638,27.1
10451,1596,5361,29.8
10452,2368,7867,30.1
10453,2336,7548,30.9
10454,1123,4048,27.7
10455,1260,4104,30.7
10456,2464,8700,28.3
10457,2069,7250,28.5
10458,2023,6976,29
10459,1476,4654,31.7
10460,1620,5331,30.4
10461,1860,6471,28.7
10462,2256,8016,28.1
10463,2000,8018,24.9
10464,118,540,21.9
10465,1475,5574,26.5
10466,2375,7417,32
10467,3344,10655,31.4
10468,2731,9209,29.7
10469,2976,9376,31.7
10470,448,1744,25.7
10471,781,3513,22.2
10472,1937,5801,33.4
10473,1910,6436,29.7
10474,320,1038,30.8
10475,1690,5653,29.9
11004,577,2656,21.7
11101,624,3276,19
11102,607,2877,21.1
11103,568,2860,19.9
11104,490,2096,23.4
11105,487,2808,17.3
11106,639,2970,21.5
11109,48,418,11.5
11201,688,5395,12.8
11203,2053,6886,29.8
11204,2019,8307,24.3
11205,720,3378,21.3
11206,1597,6905,23.1
11207,2061,7291,28.3
11208,2358,7625,30.9
11209,1124,5479,20.5
11210,1671,5876,28.4
11211,2063,10192,20.2
11212,1856,6726,27.6
11213,1384,5048,27.4
11214,1524,6300,24.2
11215,620,4035,15.4
11216,723,3549,20.4
11217,613,2913,21
11218,1709,6724,25.4
11219,3028,13548,22.4
11220,1531,5658,27.1
11221,1287,5356,24
11222,440,3047,14.4
11223,1697,6373,26.6
11224,1146,4120,27.8
11225,1138,4231,26.9
11226,2241,7904,28.4
11228,661,2760,23.9
11229,1761,10723,16.4
11230,2339,9249,25.3
11231,421,2402,17.5
11232,525,1851,28.4
11233,1249,4613,27.1
11234,2232,7813,28.6
11235,2027,7881,25.7
11236,2690,8685,31
11237,962,3777,25.5
11238,769,3795,20.3
11239,513,1723,29.8
11354,1171,4120,28.4
11355,1264,4193,30.1
11356,551,1914,28.8
11357,810,3229,25.1
11358,563,2455,22.9
11360,312,1568,19.9
11361,450,2061,21.8
11362,309,1277,24.2
11363,98,466,21
11364,462,2146,21.5
11365,826,3237,25.5
11366,386,1252,30.8
11367,1022,3709,27.6
11368,4488,12453,36
11369,1594,4476,35.6
11370,1322,3850,34.3
11372,2493,7529,33.1
11373,3199,9974,32.1
11374,1066,4007,26.6
11375,1492,5755,25.9
11377,2212,8127,27.2
11378,731,3039,24.1
11379,795,3086,25.8
11385,2136,7541,28.3
11411,678,2032,33.4
11412,1230,3780,32.5
11413,1307,3953,33.1
11414,795,2445,32.5
11415,532,1935,27.5
11416,704,2179,32.3
11417,881,2969,29.7
11418,1076,3448,31.2
11419,1187,3795,31.3
11420,1341,4181,32.1
11421,1184,3739,31.7
11422,965,3112,31
11423,1068,3237,33
11426,498,1651,30.2
11427,775,2526,30.7
11428,671,1933,34.7
11429,933,2901,32.2
11432,1788,5703,31.4
11433,936,3020,31
11434,2063,6691,30.8
11435,1608,5523,29.1
11436,519,1702,30.5
11691,2305,7538,30.6
11692,601,2099,28.6
11693,326,1086,30
11694,700,2418,28.9
11697,108,1129,9.6
