MODZCTA,Positive,Total,zcta_cum.perc_pos
NA,1633,1943,84.05
10001,314,1047,29.99
10002,915,2345,39.02
10003,410,1445,28.37
10004,28,100,28
10005,54,243,22.22
10006,23,106,21.7
10007,48,233,20.6
10009,625,2014,31.03
10010,241,1097,21.97
10011,476,1516,31.4
10012,150,557,26.93
10013,228,806,28.29
10014,273,881,30.99
10016,618,2287,27.02
10017,128,562,22.78
10018,194,598,32.44
10019,536,1734,30.91
10021,505,1937,26.07
10022,308,1214,25.37
10023,508,1942,26.16
10024,587,2092,28.06
10025,1122,3554,31.57
10026,586,1646,35.6
10027,888,2448,36.27
10028,438,1660,26.39
10029,1613,3910,41.25
10030,440,1177,37.38
10031,1131,2608,43.37
10032,1304,3097,42.11
10033,1171,2739,42.75
10034,619,1771,34.95
10035,840,1993,42.15
10036,370,1184,31.25
10037,381,1014,37.57
10038,227,672,33.78
10039,454,1238,36.67
10040,981,2477,39.6
10044,192,470,40.85
10065,300,1267,23.68
10069,48,187,25.67
10075,347,1171,29.63
10128,571,2300,24.83
10280,39,199,19.6
10282,64,191,33.51
10301,1059,2692,39.34
10302,584,1377,42.41
10303,786,1940,40.52
10304,1281,3221,39.77
10305,1128,3110,36.27
10306,1346,4017,33.51
10307,359,1040,34.52
10308,595,1856,32.06
10309,795,2357,33.73
10310,683,1864,36.64
10312,1406,4050,34.72
10314,2473,6652,37.18
10451,1465,3434,42.66
10452,2062,4790,43.05
10453,2087,4784,43.62
10454,1014,2566,39.52
10455,1138,2628,43.3
10456,2225,5370,41.43
10457,1863,4422,42.13
10458,1816,4365,41.6
10459,1360,2978,45.67
10460,1470,3399,43.25
10461,1739,4417,39.37
10462,2065,5051,40.88
10463,1721,4484,38.38
10464,114,395,28.86
10465,1398,3871,36.11
10466,2150,4836,44.46
10467,3018,6727,44.86
10468,2240,4746,47.2
10469,2654,5727,46.34
10470,409,1044,39.18
10471,546,1484,36.79
10472,1749,3662,47.76
10473,1755,4158,42.21
10474,296,700,42.29
10475,1579,4021,39.27
11004,526,997,52.76
11101,555,1626,34.13
11102,545,1392,39.15
11103,479,1306,36.68
11104,438,1135,38.59
11105,447,1348,33.16
11106,579,1524,37.99
11109,47,213,22.07
11201,562,2008,27.99
11203,1836,4117,44.6
11204,1767,4365,40.48
11205,637,1951,32.65
11206,1364,3567,38.24
11207,1828,4372,41.81
11208,2039,4397,46.37
11209,1016,2918,34.82
11210,1517,3490,43.47
11211,1830,4954,36.94
11212,1606,3864,41.56
11213,1243,2904,42.8
11214,1362,3243,42
11215,546,1884,28.98
11216,640,1820,35.16
11217,507,1362,37.22
11218,1526,3542,43.08
11219,2565,6691,38.34
11220,1357,3071,44.19
11221,1121,2750,40.76
11222,393,1152,34.11
11223,1515,3755,40.35
11224,1006,2412,41.71
11225,1047,2501,41.86
11226,1969,4428,44.47
11228,582,1510,38.54
11229,1400,3536,39.59
11230,2047,4894,41.83
11231,372,1045,35.6
11232,447,935,47.81
11233,1138,2686,42.37
11234,2066,4769,43.32
11235,1797,4212,42.66
11236,2408,5162,46.65
11237,833,1800,46.28
11238,675,1774,38.05
11239,449,1044,43.01
11354,983,2140,45.93
11355,1116,2462,45.33
11356,493,1153,42.76
11357,730,1819,40.13
11358,508,1359,37.38
11360,290,853,34
11361,402,1082,37.15
11362,284,772,36.79
11363,93,264,35.23
11364,434,1220,35.57
11365,752,1880,40
11366,354,829,42.7
11367,932,2341,39.81
11368,3937,7077,55.63
11369,1413,2722,51.91
11370,1242,2595,47.86
11372,2253,4294,52.47
11373,2912,5839,49.87
11374,979,2461,39.78
11375,1408,3571,39.43
11377,1927,4402,43.78
11378,665,1647,40.38
11379,729,1833,39.77
11385,1915,4439,43.14
11411,628,1301,48.27
11412,1154,2466,46.8
11413,1195,2598,46
11414,749,1606,46.64
11415,475,1142,41.59
11416,622,1280,48.59
11417,805,1769,45.51
11418,959,2183,43.93
11419,1047,2246,46.62
11420,1234,2709,45.55
11421,1073,2324,46.17
11422,889,1986,44.76
11423,976,2093,46.63
11426,466,1062,43.88
11427,709,1547,45.83
11428,620,1254,49.44
11429,856,1679,50.98
11432,1585,3324,47.68
11433,843,1864,45.23
11434,1829,4123,44.36
11435,1455,3289,44.24
11436,473,1079,43.84
11691,2015,4033,49.96
11692,533,1163,45.83
11693,298,687,43.38
11694,631,1511,41.76
11697,86,222,38.74
