MODZCTA,Positive,Total,zcta_cum.perc_pos
NA,5247,5589,93.88
10001,321,1176,27.3
10002,934,2513,37.17
10003,420,1602,26.22
10004,28,110,25.45
10005,54,266,20.3
10006,22,109,20.18
10007,48,251,19.12
10009,636,2163,29.4
10010,242,1207,20.05
10011,480,1673,28.69
10012,152,611,24.88
10013,234,910,25.71
10014,275,968,28.41
10016,625,2519,24.81
10017,130,612,21.24
10018,198,638,31.03
10019,550,1890,29.1
10021,512,2112,24.24
10022,315,1318,23.9
10023,514,2131,24.12
10024,598,2258,26.48
10025,1145,3856,29.69
10026,597,1776,33.61
10027,918,2666,34.43
10028,443,1821,24.33
10029,1641,4160,39.45
10030,446,1269,35.15
10031,1174,2897,40.52
10032,1332,3339,39.89
10033,1193,2955,40.37
10034,627,1942,32.29
10035,855,2151,39.75
10036,379,1275,29.73
10037,443,1402,31.6
10038,227,724,31.35
10039,459,1318,34.83
10040,1005,2639,38.08
10044,203,522,38.89
10065,303,1384,21.89
10069,50,205,24.39
10075,348,1246,27.93
10128,593,2508,23.64
10280,41,218,18.81
10282,64,201,31.84
10301,1077,2842,37.9
10302,596,1428,41.74
10303,794,2011,39.48
10304,1299,3440,37.76
10305,1148,3257,35.25
10306,1368,4197,32.59
10307,361,1099,32.85
10308,607,1952,31.1
10309,798,2448,32.6
10310,685,1944,35.24
10312,1425,4271,33.36
10314,2500,6958,35.93
10451,1488,3625,41.05
10452,2109,5085,41.47
10453,2150,5095,42.2
10454,1044,2770,37.69
10455,1155,2809,41.12
10456,2272,5744,39.55
10457,1905,4722,40.34
10458,1857,4639,40.03
10459,1377,3151,43.7
10460,1506,3628,41.51
10461,1771,4679,37.85
10462,2112,5389,39.19
10463,1758,4792,36.69
10464,115,416,27.64
10465,1423,4106,34.66
10466,2187,5101,42.87
10467,3085,7155,43.12
10468,2284,5060,45.14
10469,2774,6354,43.66
10470,420,1155,36.36
10471,561,1629,34.44
10472,1785,3901,45.76
10473,1792,4411,40.63
10474,302,732,41.26
10475,1609,4210,38.22
11004,535,1042,51.34
11101,573,1748,32.78
11102,554,1505,36.81
11103,494,1416,34.89
11104,449,1207,37.2
11105,455,1467,31.02
11106,591,1639,36.06
11109,46,230,20
11201,614,2362,25.99
11203,1882,4358,43.18
11204,1821,4857,37.49
11205,658,2131,30.88
11206,1409,3898,36.15
11207,1879,4698,40
11208,2100,4791,43.83
11209,1052,3156,33.33
11210,1534,3698,41.48
11211,1883,5461,34.48
11212,1641,4183,39.23
11213,1264,3098,40.8
11214,1395,3486,40.02
11215,561,2038,27.53
11216,660,1989,33.18
11217,541,1540,35.13
11218,1557,3877,40.16
11219,2645,7678,34.45
11220,1392,3356,41.48
11221,1148,2999,38.28
11222,403,1258,32.03
11223,1562,4047,38.6
11224,1042,2629,39.63
11225,1071,2677,40.01
11226,2017,4743,42.53
11228,595,1619,36.75
11229,1440,3849,37.41
11230,2106,5381,39.14
11231,380,1148,33.1
11232,458,1022,44.81
11233,1154,2876,40.13
11234,2102,5081,41.37
11235,1870,4706,39.74
11236,2484,5560,44.68
11237,853,1944,43.88
11238,693,1949,35.56
11239,464,1123,41.32
11354,1050,2524,41.6
11355,1145,2658,43.08
11356,505,1232,40.99
11357,759,1994,38.06
11358,514,1436,35.79
11360,294,922,31.89
11361,412,1146,35.95
11362,291,819,35.53
11363,97,287,33.8
11364,441,1299,33.95
11365,763,2011,37.94
11366,359,878,40.89
11367,943,2489,37.89
11368,4082,7747,52.69
11369,1448,2876,50.35
11370,1258,2709,46.44
11372,2312,4615,50.1
11373,2965,6221,47.66
11374,993,2598,38.22
11375,1423,3778,37.67
11377,1976,4798,41.18
11378,685,1785,38.38
11379,753,1977,38.09
11385,1970,4796,41.08
11411,637,1383,46.06
11412,1166,2611,44.66
11413,1224,2770,44.19
11414,765,1735,44.09
11415,492,1234,39.87
11416,648,1401,46.25
11417,823,1925,42.75
11418,985,2365,41.65
11419,1076,2416,44.54
11420,1255,2895,43.35
11421,1104,2516,43.88
11422,907,2106,43.07
11423,994,2228,44.61
11426,480,1122,42.78
11427,721,1618,44.56
11428,628,1330,47.22
11429,878,1793,48.97
11432,1631,3563,45.78
11433,857,1989,43.09
11434,1884,4461,42.23
11435,1496,3513,42.58
11436,485,1148,42.25
11691,2065,4312,47.89
11692,540,1222,44.19
11693,301,721,41.75
11694,651,1613,40.36
11697,86,234,36.75
