"modzcta","Positive","Total","modzcta_cum_perc_pos"
NA,6655,7524,88.5
10001,365,2335,15.6
10002,1050,4966,21.1
10003,449,3615,12.4
10004,31,253,12.3
10005,61,561,10.9
10006,24,255,9.4
10007,58,602,9.6
10009,687,4550,15.1
10010,267,2729,9.8
10011,520,3749,13.9
10012,162,1376,11.8
10013,260,1960,13.3
10014,299,2306,13
10016,684,4995,13.7
10017,143,1272,11.2
10018,203,1222,16.6
10019,598,3948,15.1
10021,561,4237,13.2
10022,338,2765,12.2
10023,557,4647,12
10024,691,4784,14.4
10025,1336,8368,16
10026,638,3109,20.5
10027,1026,4710,21.8
10028,467,3639,12.8
10029,1810,7360,24.6
10030,499,2222,22.5
10031,1310,5531,23.7
10032,1505,6174,24.4
10033,1343,5588,24
10034,705,3338,21.1
10035,947,3914,24.2
10036,416,2618,15.9
10037,538,2629,20.5
10038,249,1502,16.6
10039,516,2212,23.3
10040,1109,4326,25.6
10044,235,1019,23.1
10065,330,2843,11.6
10069,54,443,12.2
10075,425,2509,16.9
10128,630,4896,12.9
10280,51,490,10.4
10282,70,357,19.6
10301,1176,4531,26
10302,633,1969,32.1
10303,868,2923,29.7
10304,1378,4857,28.4
10305,1227,4590,26.7
10306,1446,6049,23.9
10307,378,1425,26.5
10308,631,2641,23.9
10309,838,3338,25.1
10310,718,2834,25.3
10312,1494,5909,25.3
10314,2636,10060,26.2
10451,1600,5508,29
10452,2384,8104,29.4
10453,2346,7728,30.4
10454,1125,4152,27.1
10455,1265,4209,30.1
10456,2470,8950,27.6
10457,2080,7407,28.1
10458,2030,7157,28.4
10459,1481,4798,30.9
10460,1629,5473,29.8
10461,1864,6622,28.1
10462,2259,8219,27.5
10463,2008,8254,24.3
10464,118,551,21.4
10465,1477,5712,25.9
10466,2381,7613,31.3
10467,3365,10956,30.7
10468,2735,9492,28.8
10469,2981,9615,31
10470,448,1775,25.2
10471,790,3603,21.9
10472,1940,5943,32.6
10473,1914,6558,29.2
10474,323,1066,30.3
10475,1694,5735,29.5
11004,582,2762,21.1
11101,625,3393,18.4
11102,609,2990,20.4
11103,573,2990,19.2
11104,490,2169,22.6
11105,488,2932,16.6
11106,641,3077,20.8
11109,48,433,11.1
11201,694,5667,12.2
11203,2063,7123,29
11204,2022,8450,23.9
11205,722,3476,20.8
11206,1601,7123,22.5
11207,2071,7508,27.6
11208,2375,7856,30.2
11209,1125,5671,19.8
11210,1678,6055,27.7
11211,2070,10522,19.7
11212,1868,6950,26.9
11213,1387,5218,26.6
11214,1531,6605,23.2
11215,620,4249,14.6
11216,728,3734,19.5
11217,614,3063,20
11218,1716,6977,24.6
11219,3038,13802,22
11220,1533,5854,26.2
11221,1300,5695,22.8
11222,442,3186,13.9
11223,1701,6590,25.8
11224,1159,4310,26.9
11225,1139,4392,25.9
11226,2249,8147,27.6
11228,668,2918,22.9
11229,1767,10893,16.2
11230,2349,9627,24.4
11231,421,2510,16.8
11232,527,1952,27
11233,1255,4759,26.4
11234,2237,8058,27.8
11235,2034,8142,25
11236,2700,8976,30.1
11237,963,3937,24.5
11238,779,4121,18.9
11239,516,1767,29.2
11354,1185,4350,27.2
11355,1269,4328,29.3
11356,552,1973,28
11357,810,3318,24.4
11358,565,2525,22.4
11360,316,1626,19.4
11361,451,2122,21.3
11362,310,1320,23.5
11363,98,476,20.6
11364,463,2208,21
11365,826,3340,24.7
11366,388,1303,29.8
11367,1026,3801,27
11368,4506,12806,35.2
11369,1601,4579,35
11370,1325,3956,33.5
11372,2501,7787,32.1
11373,3205,10258,31.2
11374,1069,4107,26
11375,1493,5920,25.2
11377,2221,8398,26.4
11378,734,3109,23.6
11379,798,3153,25.3
11385,2148,7773,27.6
11411,681,2080,32.7
11412,1233,3858,32
11413,1310,4039,32.4
11414,796,2508,31.7
11415,533,1969,27.1
11416,707,2252,31.4
11417,882,3019,29.2
11418,1083,3510,30.9
11419,1189,3864,30.8
11420,1344,4267,31.5
11421,1187,3820,31.1
11422,968,3176,30.5
11423,1071,3304,32.4
11426,499,1681,29.7
11427,777,2573,30.2
11428,674,1981,34
11429,937,2992,31.3
11432,1803,5973,30.2
11433,941,3104,30.3
11434,2073,6826,30.4
11435,1613,5632,28.6
11436,520,1743,29.8
11691,2322,7852,29.6
11692,604,2204,27.4
11693,326,1121,29.1
11694,700,2480,28.2
11697,108,1137,9.5
