MODZCTA,Positive,Total,zcta_cum.perc_pos
NA,1631,1953,83.51
10001,320,1122,28.52
10002,930,2444,38.05
10003,414,1532,27.02
10004,28,107,26.17
10005,54,255,21.18
10006,23,108,21.3
10007,48,241,19.92
10009,631,2097,30.09
10010,242,1159,20.88
10011,477,1588,30.04
10012,151,580,26.03
10013,231,855,27.02
10014,275,926,29.7
10016,625,2407,25.97
10017,130,592,21.96
10018,196,622,31.51
10019,543,1811,29.98
10021,512,2036,25.15
10022,312,1266,24.64
10023,510,2032,25.1
10024,593,2179,27.21
10025,1138,3728,30.53
10026,595,1722,34.55
10027,904,2602,34.74
10028,440,1735,25.36
10029,1630,4067,40.08
10030,444,1231,36.07
10031,1153,2741,42.06
10032,1321,3238,40.8
10033,1180,2835,41.62
10034,627,1892,33.14
10035,850,2087,40.73
10036,374,1231,30.38
10037,388,1071,36.23
10038,227,698,32.52
10039,458,1283,35.7
10040,992,2573,38.55
10044,197,504,39.09
10065,302,1320,22.88
10069,49,197,24.87
10075,348,1206,28.86
10128,583,2402,24.27
10280,41,207,19.81
10282,64,196,32.65
10301,1073,2785,38.53
10302,596,1415,42.12
10303,791,1990,39.75
10304,1297,3391,38.25
10305,1143,3201,35.71
10306,1367,4122,33.16
10307,360,1067,33.74
10308,602,1908,31.55
10309,797,2404,33.15
10310,684,1906,35.89
10312,1422,4180,34.02
10314,2492,6829,36.49
10451,1475,3552,41.53
10452,2091,4984,41.95
10453,2128,4983,42.71
10454,1033,2699,38.27
10455,1149,2743,41.89
10456,2254,5614,40.15
10457,1891,4610,41.02
10458,1846,4549,40.58
10459,1371,3080,44.51
10460,1489,3538,42.09
10461,1758,4594,38.27
10462,2098,5262,39.87
10463,1740,4677,37.2
10464,115,413,27.85
10465,1414,4005,35.31
10466,2171,5004,43.39
10467,3058,6985,43.78
10468,2276,4963,45.86
10469,2748,6223,44.16
10470,414,1099,37.67
10471,555,1570,35.35
10472,1771,3813,46.45
10473,1775,4313,41.15
10474,299,719,41.59
10475,1600,4147,38.58
11004,531,1023,51.91
11101,562,1700,33.06
11102,549,1459,37.63
11103,486,1367,35.55
11104,447,1184,37.75
11105,453,1415,32.01
11106,587,1594,36.83
11109,47,221,21.27
11201,601,2244,26.78
11203,1865,4252,43.86
11204,1798,4602,39.07
11205,653,2040,32.01
11206,1388,3740,37.11
11207,1863,4584,40.64
11208,2088,4654,44.86
11209,1043,3060,34.08
11210,1530,3603,42.46
11211,1859,5195,35.78
11212,1632,4066,40.14
11213,1255,3018,41.58
11214,1376,3378,40.73
11215,555,1966,28.23
11216,656,1915,34.26
11217,530,1457,36.38
11218,1545,3728,41.44
11219,2610,7103,36.75
11220,1381,3256,42.41
11221,1135,2903,39.1
11222,401,1199,33.44
11223,1541,3899,39.52
11224,1028,2534,40.57
11225,1065,2608,40.84
11226,2000,4612,43.37
11228,589,1567,37.59
11229,1424,3703,38.46
11230,2071,5101,40.6
11231,377,1091,34.56
11232,453,985,45.99
11233,1154,2813,41.02
11234,2089,4955,42.16
11235,1860,4542,40.95
11236,2470,5422,45.56
11237,847,1895,44.7
11238,689,1864,36.96
11239,461,1099,41.95
11354,998,2213,45.1
11355,1140,2581,44.17
11356,505,1201,42.05
11357,754,1941,38.85
11358,513,1409,36.41
11360,291,891,32.66
11361,406,1126,36.06
11362,287,800,35.88
11363,96,273,35.16
11364,441,1270,34.72
11365,759,1963,38.67
11366,359,859,41.79
11367,942,2419,38.94
11368,4033,7481,53.91
11369,1435,2828,50.74
11370,1254,2669,46.98
11372,2287,4511,50.7
11373,2944,6052,48.65
11374,985,2543,38.73
11375,1417,3681,38.49
11377,1961,4659,42.09
11378,673,1722,39.08
11379,741,1928,38.43
11385,1955,4666,41.9
11411,632,1347,46.92
11412,1164,2565,45.38
11413,1217,2699,45.09
11414,760,1684,45.13
11415,482,1198,40.23
11416,638,1350,47.26
11417,815,1868,43.63
11418,981,2298,42.69
11419,1063,2338,45.47
11420,1246,2825,44.11
11421,1097,2459,44.61
11422,903,2059,43.86
11423,989,2174,45.49
11426,474,1097,43.21
11427,717,1591,45.07
11428,624,1301,47.96
11429,871,1747,49.86
11432,1614,3471,46.5
11433,850,1945,43.7
11434,1868,4352,42.92
11435,1483,3433,43.2
11436,482,1123,42.92
11691,2049,4201,48.77
11692,539,1206,44.69
11693,301,710,42.39
11694,648,1581,40.99
11697,86,225,38.22
